strain.x	replicon	clust_type.x	clust_num	cluster_size	ind_clust_size.x	ONT_ext	strain.y	clust_type.y	ind_clust_size.y	Ill_ext	rep_type
NBC_00454	CP107909_linear_right	S	133	1	1	0	NBC_00454	S	1	-107	extrachromosomal
NBC_00455	CP109337_linear_left	H	120	20	8	21	NBC_00455	H	8	-0	chromosome
NBC_00455	CP109337_linear_right	H	120	20	8	15	NBC_00455	H	8	-0	chromosome
NBC_00455	CP109338_linear_left	H	2	327	116	0	NBC_00455	H	116	-12	plasmid
NBC_00455	CP109338_linear_right	H	2	327	116	6	NBC_00455	H	116	-12	plasmid
NBC_00456	CP107906_linear_left	S	128	6	4	11	NBC_00456	S	4	-12	chromosome
NBC_00456	CP107906_linear_right	H	128	6	4	11	NBC_00456	H	4	-12	chromosome
NBC_00457	CP107905_linear_left	H	100	46	22	1	NBC_00457	H	22	-12	chromosome
NBC_00457	CP107905_linear_right	H	100	46	22	1	NBC_00457	H	22	-12	chromosome
NBC_00459	CP107903_linear_left	H	2	327	116	36	NBC_00459	H	116	-11	chromosome
NBC_00459	CP107903_linear_right	H	2	327	116	19	NBC_00459	H	116	-11	chromosome
NBC_00461	CP107902_linear_left	S	125	8	4	12	NBC_00461	S	4	-0	chromosome
NBC_00461	CP107902_linear_right	H	125	8	4	12	NBC_00461	H	4	-0	chromosome
NBC_00464	CP107899_linear_left	S	123	1	1	0	NBC_00464	S	1	-0	chromosome
NBC_00464	CP107899_linear_right	S	124	39	6	0	NBC_00464	S	6	-5	chromosome
NBC_00464	CP107900_linear_left	H	124	39	6	0	NBC_00464	H	6	-11	plasmid
NBC_00464	CP107900_linear_right	H	124	39	6	0	NBC_00464	H	6	-5	plasmid
NBC_00464	CP107901_linear_left	H	124	39	6	2	NBC_00464	H	6	-12	plasmid
NBC_00464	CP107901_linear_right	H	124	39	6	0	NBC_00464	H	6	-0	plasmid
NBC_00466	CP107896_linear_left	S	119	2	1	20786	NBC_00466	S	1	-115	chromosome
NBC_00466	CP107896_linear_right	S	120	20	8	0	NBC_00466	S	8	-0	chromosome
NBC_00466	CP107897_linear_left	S	121	2	1	0	NBC_00466	S	1	-113	plasmid
NBC_00466	CP107897_linear_right	H	121	2	1	1	NBC_00466	H	1	-112	plasmid
NBC_00466	CP107898_linear_left	S	122	1	1	3964	NBC_00466	S	1	-118	extrachromosomal
NBC_00466	CP107898_linear_right	H	119	2	1	20686	NBC_00466	H	1	-115	extrachromosomal
NBC_00467	CP107894_linear_left	H	2	327	116	2	NBC_00467	H	116	-12	chromosome
NBC_00467	CP107894_linear_right	H	2	327	116	2	NBC_00467	H	116	-11	chromosome
NBC_00467	CP107895_linear_left	S	118	1	1	0	NBC_00467	S	1	-0	plasmid
NBC_00467	CP107895_linear_right	H	2	327	116	2	NBC_00467	H	116	-12	plasmid
NBC_00470	CP107889_linear_left	H	18	86	40	1	NBC_00470	H	40	-13	chromosome
NBC_00470	CP107889_linear_right	H	18	86	40	1	NBC_00470	H	40	-13	chromosome
NBC_00470	CP107890_linear_left	S	114	6	3	1	NBC_00470	S	3	-12	plasmid
NBC_00470	CP107890_linear_right	S	115	1	1	0	NBC_00470	S	1	-0	plasmid
NBC_00470	CP107891_linear_left	S	116	1	1	5	NBC_00470	S	1	-15	extrachromosomal
NBC_00470	CP107891_linear_right	S	117	1	1	1506	NBC_00470	S	1	-0	extrachromosomal
NBC_00471	CP107887_linear_left	H	106	28	14	18	NBC_00471	H	14	-14	chromosome
NBC_00471	CP107887_linear_right	H	106	28	14	18	NBC_00471	H	14	-14	chromosome
NBC_00471	CP107888_linear_left	H	13	19	8	0	NBC_00471	H	8	-14	plasmid
NBC_00471	CP107888_linear_right	H	13	19	8	0	NBC_00471	H	8	-14	plasmid
NBC_00472	CP107885_linear_left	H	11	52	23	60	NBC_00472	H	23	-16	chromosome
NBC_00472	CP107885_linear_right	H	11	52	23	30	NBC_00472	H	23	-16	chromosome
NBC_00475	CP107884_linear_left	H	50	43	22	8	NBC_00475	H	22	-21	chromosome
NBC_00475	CP107884_linear_right	H	50	43	22	8	NBC_00475	H	22	-21	chromosome
NBC_00478	CP108343_linear_left	H	2	327	116	22	NBC_00478	H	116	-12	chromosome
NBC_00478	CP108343_linear_right	H	2	327	116	3	NBC_00478	H	116	-12	chromosome
NBC_00480	CP107883_linear_left	S	111	12	6	9	NBC_00480	S	6	-14	chromosome
NBC_00480	CP107883_linear_right	H	111	12	6	9	NBC_00480	H	6	-14	chromosome
NBC_00483	CP107880_linear_left	H	2	327	116	0	NBC_00483	H	116	-12	chromosome
NBC_00483	CP107880_linear_right	H	2	327	116	46	NBC_00483	H	116	-12	chromosome
NBC_00484	CP107879_linear_left	H	18	86	40	1	NBC_00484	H	40	-0	chromosome
NBC_00484	CP107879_linear_right	H	18	86	40	1	NBC_00484	H	40	-0	chromosome
NBC_00485	CP107878_linear_left	H	18	86	40	4558	NBC_00485	H	40	-15	chromosome
NBC_00485	CP107878_linear_right	H	18	86	40	7380	NBC_00485	H	40	-15	chromosome
NBC_00487	CP107877_linear_left	H	89	34	16	6	NBC_00487	H	16	-11	chromosome
NBC_00487	CP107877_linear_right	H	89	34	16	6	NBC_00487	H	16	-11	chromosome
NBC_00488	CP107871_linear_left	H	53	14	8	1	NBC_00488	H	8	-0	chromosome
NBC_00488	CP107871_linear_right	H	53	14	8	18	NBC_00488	H	8	-12	chromosome
NBC_00488	CP107872_linear_left	S	105	13	7	1	NBC_00488	S	7	-30	plasmid
NBC_00488	CP107872_linear_right	H	105	13	7	0	NBC_00488	H	7	-17	plasmid
NBC_00488	CP107873_linear_left	S	106	28	14	10	NBC_00488	S	14	-0	plasmid
NBC_00488	CP107873_linear_right	S	107	5	2	393	NBC_00488	S	2	-14	plasmid
NBC_00488	CP107875_linear_left	S	110	11	7	2	NBC_00488	S	7	-0	extrachromosomal
NBC_00488	CP107875_linear_right	H	110	11	7	2	NBC_00488	H	7	-20	extrachromosomal
NBC_00488	CP107876_linear_left	H	107	5	2	0	NBC_00488	H	2	-15	plasmid
NBC_00488	CP107876_linear_right	H	107	5	2	1433	NBC_00488	H	2	-16	plasmid
NBC_00489	CP108330_linear_left	H	66	23	10	407	NBC_00489	H	10	-0	chromosome
NBC_00489	CP108330_linear_right	H	66	23	10	396	NBC_00489	H	10	-0	chromosome
NBC_00490	CP107869_linear_left	S	102	2	1	2	NBC_00490	S	1	-74	chromosome
NBC_00490	CP107869_linear_right	S	103	8	3	3	NBC_00490	S	3	-12	chromosome
NBC_00490	CP107870_linear_left	S	104	1	1	11	NBC_00490	S	1	-105	plasmid
NBC_00490	CP107870_linear_right	H	102	2	1	3188	NBC_00490	H	1	-74	plasmid
NBC_00493	CP107867_linear_left	H	18	86	40	3	NBC_00493	H	40	-0	chromosome
NBC_00493	CP107867_linear_right	H	18	86	40	3	NBC_00493	H	40	-0	chromosome
NBC_00493	CP107868_linear_left	H	12	26	12	8	NBC_00493	H	12	-10	plasmid
NBC_00493	CP107868_linear_right	S	101	1	1	7970	NBC_00493	S	1	-0	plasmid
NBC_00494	CP107866_linear_left	H	37	127	46	3	NBC_00494	H	46	-11	chromosome
NBC_00494	CP107866_linear_right	H	37	127	46	3	NBC_00494	H	46	-11	chromosome
NBC_00496	CP107865_linear_left	H	89	34	16	2	NBC_00496	H	16	-11	chromosome
NBC_00496	CP107865_linear_right	H	89	34	16	2	NBC_00496	H	16	-11	chromosome
NBC_00497	CP107863_linear_left	H	9	77	30	3	NBC_00497	H	30	-14	chromosome
NBC_00497	CP107863_linear_right	H	9	77	30	3	NBC_00497	H	30	-14	chromosome
NBC_00497	CP107864_linear_left	H	9	77	30	1	NBC_00497	H	30	-16	plasmid
NBC_00497	CP107864_linear_right	S	100	46	22	7	NBC_00497	S	22	-14	plasmid
NBC_00498	CP107862_linear_left	H	2	327	116	1960	NBC_00498	H	116	-11	chromosome
NBC_00498	CP107862_linear_right	H	2	327	116	1961	NBC_00498	H	116	-11	chromosome
NBC_00499	CP107861_linear_left	H	2	327	116	2	NBC_00499	H	116	-12	chromosome
NBC_00499	CP107861_linear_right	H	2	327	116	2	NBC_00499	H	116	-12	chromosome
NBC_00500	CP107860_linear_left	S	99	5	3	3	NBC_00500	S	3	-33	chromosome
NBC_00500	CP107860_linear_right	H	99	5	3	3	NBC_00500	H	3	-33	chromosome
NBC_00501	CP107858_linear_left	H	4	93	35	63	NBC_00501	H	35	-13	chromosome
NBC_00501	CP107858_linear_right	H	4	93	35	0	NBC_00501	H	35	-12	chromosome
NBC_00501	CP107859_linear_left	S	98	2	2	0	NBC_00501	S	2	-0	plasmid
NBC_00501	CP107859_linear_right	H	4	93	35	1	NBC_00501	H	35	-16	plasmid
NBC_00502	CP107857_linear_left	S	97	47	16	5	NBC_00502	S	16	-22	chromosome
NBC_00502	CP107857_linear_right	H	97	47	16	8	NBC_00502	H	16	-22	chromosome
NBC_00503	CP107855_linear_left	S	94	2	1	1	NBC_00503	S	1	-76	chromosome
NBC_00503	CP107855_linear_right	S	95	1	1	0	NBC_00503	S	1	-0	chromosome
NBC_00503	CP107856_linear_left	H	94	2	1	1	NBC_00503	H	1	-76	plasmid
NBC_00503	CP107856_linear_right	S	96	1	1	2	NBC_00503	S	1	-49	plasmid
NBC_00504	CP108329_linear_left	H	2	327	116	2854	NBC_00504	H	116	-13	chromosome
NBC_00504	CP108329_linear_right	H	2	327	116	5927	NBC_00504	H	116	-13	chromosome
NBC_00510	CP107851_linear_left	H	25	50	26	2	NBC_00510	H	26	-13	chromosome
NBC_00510	CP107851_linear_right	H	25	50	26	2	NBC_00510	H	26	-13	chromosome
NBC_00513	CP107845_linear_left	S	90	54	24	138	NBC_00513	S	24	-11	chromosome
NBC_00513	CP107845_linear_right	H	90	54	24	138	NBC_00513	H	24	-11	chromosome
NBC_00513	CP107846_linear_left	S	91	3	2	6	NBC_00513	S	2	-16	plasmid
NBC_00513	CP107846_linear_right	H	91	3	2	12	NBC_00513	H	2	-16	plasmid
NBC_00513	CP107847_linear_left	H	90	54	24	138	NBC_00513	H	24	-11	plasmid
NBC_00513	CP107847_linear_right	H	90	54	24	9	NBC_00513	H	24	-12	plasmid
NBC_00514	CP107844_linear_left	S	89	34	16	0	NBC_00514	S	16	-11	chromosome
NBC_00514	CP107844_linear_right	H	89	34	16	0	NBC_00514	H	16	-11	chromosome
NBC_00515	CP107841_linear_left	H	2	327	116	2	NBC_00515	H	116	-11	chromosome
NBC_00515	CP107841_linear_right	H	2	327	116	2	NBC_00515	H	116	-11	chromosome
NBC_00519	CP107839_linear_left	H	18	86	40	0	NBC_00519	H	40	-14	chromosome
NBC_00519	CP107839_linear_right	H	18	86	40	0	NBC_00519	H	40	-14	chromosome
NBC_00520	CP107838_linear_left	H	49	34	14	0	NBC_00520	H	14	-20	chromosome
NBC_00520	CP107838_linear_right	H	49	34	14	0	NBC_00520	H	14	-20	chromosome
NBC_00521	CP108326_linear_left	H	66	23	10	535	NBC_00521	H	10	-13	chromosome
NBC_00521	CP108326_linear_right	H	66	23	10	523	NBC_00521	H	10	-14	chromosome
NBC_00522	CP108325_linear_left	H	66	23	10	66	NBC_00522	H	10	-0	chromosome
NBC_00522	CP108325_linear_right	H	66	23	10	6	NBC_00522	H	10	-0	chromosome
NBC_00523	CP107836_linear_left	S	84	17	10	5	NBC_00523	S	10	-11	chromosome
NBC_00523	CP107836_linear_right	H	84	17	10	4333	NBC_00523	H	10	-12	chromosome
NBC_00523	CP107837_linear_left	H	84	17	10	7	NBC_00523	H	10	-12	plasmid
NBC_00523	CP107837_linear_right	H	84	17	10	2	NBC_00523	H	10	-11	plasmid
NBC_00525	CP107834_linear_left	S	81	1	1	6969	NBC_00525	S	1	-134	chromosome
NBC_00525	CP107834_linear_right	S	82	4	3	5086	NBC_00525	S	3	-24	chromosome
NBC_00525	CP107835_linear_left	S	83	1	1	0	NBC_00525	S	1	-0	plasmid
NBC_00525	CP107835_linear_right	H	82	4	3	18	NBC_00525	H	3	-22	plasmid
NBC_00535	CP107823_linear_left	H	6	9	2	10	NBC_00535	H	2	-13	chromosome
NBC_00535	CP107823_linear_right	H	6	9	2	11	NBC_00535	H	2	-12	chromosome
NBC_00535	CP107824_linear_left	H	6	9	2	4	NBC_00535	H	2	-13	plasmid
NBC_00535	CP107824_linear_right	H	6	9	2	5	NBC_00535	H	2	-12	plasmid
NBC_00536	CP107819_linear_left	S	75	25	13	1	NBC_00536	S	13	-11	chromosome
NBC_00536	CP107819_linear_right	H	75	25	13	3	NBC_00536	H	13	-11	chromosome
NBC_00536	CP107820_linear_left	H	75	25	13	14	NBC_00536	H	13	-12	plasmid
NBC_00536	CP107820_linear_right	S	76	1	1	3	NBC_00536	S	1	-54	plasmid
NBC_00538	CP107813_linear_left	H	50	43	22	1	NBC_00538	H	22	-15	chromosome
NBC_00538	CP107813_linear_right	H	50	43	22	1	NBC_00538	H	22	-15	chromosome
NBC_00538	CP107814_linear_left	H	50	43	22	8	NBC_00538	H	22	-15	plasmid
NBC_00538	CP107814_linear_right	H	50	43	22	8	NBC_00538	H	22	-15	plasmid
NBC_00538	CP107815_linear_left	H	13	19	8	2	NBC_00538	H	8	-24	plasmid
NBC_00538	CP107815_linear_right	H	13	19	8	2	NBC_00538	H	8	-24	plasmid
NBC_00538	CP107816_linear_left	H	15	4	2	0	NBC_00538	H	2	-0	extrachromosomal
NBC_00538	CP107816_linear_right	H	15	4	2	2	NBC_00538	H	2	-0	extrachromosomal
NBC_00539	CP107811_linear_left	H	32	26	13	4	NBC_00539	H	13	-12	chromosome
NBC_00539	CP107811_linear_right	H	32	26	13	11	NBC_00539	H	13	-12	chromosome
NBC_00539	CP107812_linear_left	H	32	26	13	23	NBC_00539	H	13	-12	plasmid
NBC_00539	CP107812_linear_right	H	32	26	13	5	NBC_00539	H	13	-12	plasmid
NBC_00541	CP107809_linear_left	H	11	52	23	1	NBC_00541	H	23	-12	chromosome
NBC_00541	CP107809_linear_right	H	11	52	23	1	NBC_00541	H	23	-12	chromosome
NBC_00554	CP107799_linear_left	S	68	1	1	224	NBC_00554	S	1	-0	chromosome
NBC_00554	CP107799_linear_right	S	69	1	1	0	NBC_00554	S	1	-40	chromosome
NBC_00554	CP107800_linear_left	H	12	26	12	901	NBC_00554	H	12	-16	extrachromosomal
NBC_00554	CP107800_linear_right	S	70	1	1	5569	NBC_00554	S	1	-112	extrachromosomal
NBC_00556	CP107798_linear_left	H	18	86	40	2	NBC_00556	H	40	-12	chromosome
NBC_00556	CP107798_linear_right	S	67	10	8	3	NBC_00556	S	8	-13	chromosome
NBC_00557	CP107796_linear_left	H	0	42	14	4	NBC_00557	H	14	-0	chromosome
NBC_00557	CP107796_linear_right	H	0	42	14	0	NBC_00557	H	14	-0	chromosome
NBC_00557	CP107797_linear_left	S	66	23	10	4	NBC_00557	S	10	-0	plasmid
NBC_00557	CP107797_linear_right	H	66	23	10	4	NBC_00557	H	10	-12	plasmid
NBC_00558	CP107793_linear_left	H	2	327	116	5	NBC_00558	H	116	-12	chromosome
NBC_00558	CP107793_linear_right	H	2	327	116	5	NBC_00558	H	116	-12	chromosome
NBC_00558	CP107794_linear_left	H	2	327	116	19	NBC_00558	H	116	-12	plasmid
NBC_00558	CP107794_linear_right	H	2	327	116	5	NBC_00558	H	116	-12	plasmid
NBC_00558	CP107795_linear_left	H	2	327	116	0	NBC_00558	H	116	-12	plasmid
NBC_00558	CP107795_linear_right	H	2	327	116	1	NBC_00558	H	116	-12	plasmid
NBC_00562	CP107791_linear_left	H	25	50	26	1	NBC_00562	H	26	-11	chromosome
NBC_00562	CP107791_linear_right	H	25	50	26	1	NBC_00562	H	26	-11	chromosome
NBC_00564	CP107786_linear_left	S	54	1	1	0	NBC_00564	S	1	-119	chromosome
NBC_00564	CP107786_linear_right	S	55	1	1	0	NBC_00564	S	1	-78	chromosome
NBC_00564	CP107787_linear_left	S	56	1	1	0	NBC_00564	S	1	-105	plasmid
NBC_00564	CP107787_linear_right	S	57	5	4	0	NBC_00564	S	4	-22	plasmid
NBC_00564	CP107788_linear_left	S	58	1	1	12673	NBC_00564	S	1	-100	extrachromosomal
NBC_00564	CP107788_linear_right	S	59	1	1	0	NBC_00564	S	1	-116	extrachromosomal
NBC_00564	CP107789_linear_left	S	60	1	1	0	NBC_00564	S	1	-108	extrachromosomal
NBC_00564	CP107789_linear_right	S	61	1	1	0	NBC_00564	S	1	-119	extrachromosomal
NBC_00564	CP107790_linear_left	S	62	1	1	0	NBC_00564	S	1	-111	extrachromosomal
NBC_00564	CP107790_linear_right	S	63	1	1	0	NBC_00564	S	1	-112	extrachromosomal
NBC_00566	CP107784_linear_left	H	2	327	116	35	NBC_00566	H	116	-11	chromosome
NBC_00566	CP107784_linear_right	H	2	327	116	30	NBC_00566	H	116	-11	chromosome
NBC_00569	CP107783_linear_left	S	53	14	8	9	NBC_00569	S	8	-13	chromosome
NBC_00569	CP107783_linear_right	H	53	14	8	9	NBC_00569	H	8	-13	chromosome
NBC_00573	CP107782_linear_left	H	11	52	23	8	NBC_00573	H	23	-15	chromosome
NBC_00573	CP107782_linear_right	H	11	52	23	8	NBC_00573	H	23	-15	chromosome
NBC_00576	CP107780_linear_left	S	50	43	22	1	NBC_00576	S	22	-29	chromosome
NBC_00576	CP107780_linear_right	H	50	43	22	1	NBC_00576	H	22	-29	chromosome
NBC_00582	CP107772_linear_left	H	2	327	116	1	NBC_00582	H	116	-12	chromosome
NBC_00582	CP107772_linear_right	H	35	17	7	0	NBC_00582	H	7	-0	chromosome
NBC_00582	CP107773_linear_left	S	49	34	14	9	NBC_00582	S	14	-14	plasmid
NBC_00582	CP107773_linear_right	H	49	34	14	3	NBC_00582	H	14	-14	plasmid
NBC_00586	CP107768_linear_left	H	9	77	30	10	NBC_00586	H	30	-11	chromosome
NBC_00586	CP107768_linear_right	H	9	77	30	24	NBC_00586	H	30	-11	chromosome
NBC_00587	CP107766_linear_left	H	9	77	30	785	NBC_00587	H	30	-11	chromosome
NBC_00587	CP107766_linear_right	H	9	77	30	770	NBC_00587	H	30	-12	chromosome
NBC_00588	CP107765_linear_left	S	40	13	5	215	NBC_00588	S	5	-0	chromosome
NBC_00588	CP107765_linear_right	H	40	13	5	215	NBC_00588	H	5	-0	chromosome
NBC_00589	CP107764_linear_left	H	18	86	40	2692	NBC_00589	H	40	-12	chromosome
NBC_00589	CP107764_linear_right	S	39	1	1	2876	NBC_00589	S	1	-117	chromosome
NBC_00590	CP107762_linear_left	H	9	77	30	7	NBC_00590	H	30	-12	chromosome
NBC_00590	CP107762_linear_right	S	36	1	1	847	NBC_00590	S	1	-118	chromosome
NBC_00590	CP107763_linear_left	S	37	127	46	1	NBC_00590	S	46	-14	plasmid
NBC_00590	CP107763_linear_right	S	38	1	1	0	NBC_00590	S	1	-0	plasmid
NBC_00591	CP107761_linear_left	S	35	17	7	2232	NBC_00591	S	7	-0	chromosome
NBC_00591	CP107761_linear_right	H	35	17	7	4	NBC_00591	H	7	-0	chromosome
NBC_00594	CP107760_linear_left	H	11	52	23	5	NBC_00594	H	23	-15	chromosome
NBC_00594	CP107760_linear_right	H	11	52	23	5	NBC_00594	H	23	-15	chromosome
NBC_00595	CP108324_linear_left	H	66	23	10	64	NBC_00595	H	10	-14	chromosome
NBC_00595	CP108324_linear_right	H	66	23	10	4	NBC_00595	H	10	-16	chromosome
NBC_00597	CP107758_linear_left	S	31	18	12	0	NBC_00597	S	12	-0	plasmid
NBC_00597	CP107758_linear_right	S	32	26	13	24	NBC_00597	S	13	-20	plasmid
NBC_00597	CP107759_linear_left	S	33	1	1	19475	NBC_00597	S	1	-118	extrachromosomal
NBC_00597	CP107759_linear_right	S	34	1	1	26817	NBC_00597	S	1	-120	extrachromosomal
NBC_00598	CP107755_linear_left	H	18	86	40	12	NBC_00598	H	40	-12	chromosome
NBC_00598	CP107755_linear_right	H	18	86	40	3	NBC_00598	H	40	-12	chromosome
NBC_00616	CP108323_linear_left	H	2	327	116	1	NBC_00616	H	116	-12	chromosome
NBC_00616	CP108323_linear_right	H	2	327	116	1	NBC_00616	H	116	-12	chromosome
NBC_00618	CP107750_linear_left	H	18	86	40	1	NBC_00618	H	40	-13	chromosome
NBC_00618	CP107750_linear_right	H	18	86	40	1	NBC_00618	H	40	-13	chromosome
NBC_00622	CP107749_linear_left	H	18	86	40	21	NBC_00622	H	40	-11	chromosome
NBC_00622	CP107749_linear_right	H	18	86	40	6585	NBC_00622	H	40	-13	chromosome
NBC_00623	CP107748_linear_left	H	25	50	26	2	NBC_00623	H	26	-13	chromosome
NBC_00623	CP107748_linear_right	H	25	50	26	2	NBC_00623	H	26	-13	chromosome
NBC_00624	CP107746_linear_left	S	25	50	26	1	NBC_00624	S	26	-12	chromosome
NBC_00624	CP107746_linear_right	H	25	50	26	0	NBC_00624	H	26	-0	chromosome
NBC_00624	CP107747_linear_left	S	26	6	3	1137	NBC_00624	S	3	-0	plasmid
NBC_00624	CP107747_linear_right	H	26	6	3	14	NBC_00624	H	3	-11	plasmid
NBC_00625	CP107742_linear_left	H	2	327	116	4	NBC_00625	H	116	-20	chromosome
NBC_00625	CP107742_linear_right	H	2	327	116	4	NBC_00625	H	116	-20	chromosome
NBC_00626	CP107741_linear_left	S	18	86	40	1	NBC_00626	S	40	-13	chromosome
NBC_00626	CP107741_linear_right	H	18	86	40	1	NBC_00626	H	40	-13	chromosome
NBC_00630	CP107735_linear_left	H	2	327	116	6	NBC_00630	H	116	-20	chromosome
NBC_00630	CP107735_linear_right	H	2	327	116	6	NBC_00630	H	116	-20	chromosome
NBC_00630	CP107736_linear_left	H	2	327	116	6	NBC_00630	H	116	-20	plasmid
NBC_00630	CP107736_linear_right	H	2	327	116	6	NBC_00630	H	116	-20	plasmid
NBC_00630	CP107737_linear_left	S	13	19	8	6	NBC_00630	S	8	-35	plasmid
NBC_00630	CP107737_linear_right	H	13	19	8	72	NBC_00630	H	8	-30	plasmid
NBC_00630	CP107738_linear_left	S	14	19	6	3332	NBC_00630	S	6	-42	plasmid
NBC_00630	CP107738_linear_right	H	14	19	6	820	NBC_00630	H	6	-42	plasmid
NBC_00630	CP107739_linear_left	S	15	4	2	1080	NBC_00630	S	2	-0	extrachromosomal
NBC_00630	CP107739_linear_right	H	15	4	2	4	NBC_00630	H	2	-0	extrachromosomal
NBC_00631	CP107734_linear_left	S	12	26	12	2700	NBC_00631	S	12	-14	chromosome
NBC_00631	CP107734_linear_right	H	12	26	12	5509	NBC_00631	H	12	-14	chromosome
NBC_00632	CP107733_linear_left	S	11	52	23	3	NBC_00632	S	23	-12	chromosome
NBC_00632	CP107733_linear_right	H	11	52	23	3	NBC_00632	H	23	-12	chromosome
NBC_00633	CP107731_linear_left	H	2	327	116	7	NBC_00633	H	116	-13	chromosome
NBC_00633	CP107731_linear_right	H	2	327	116	7	NBC_00633	H	116	-13	chromosome
NBC_00633	CP107732_linear_left	H	0	42	14	9	NBC_00633	H	14	-13	plasmid
NBC_00633	CP107732_linear_right	H	0	42	14	0	NBC_00633	H	14	-14	plasmid
NBC_00634	CP107730_linear_left	S	9	77	30	83	NBC_00634	S	30	-11	chromosome
NBC_00634	CP107730_linear_right	S	10	1	1	3085	NBC_00634	S	1	-112	chromosome
NBC_00635	CP130731_linear_left	H	11	52	23	9	NBC_00635	H	23	-14	chromosome
NBC_00635	CP130731_linear_right	H	11	52	23	9	NBC_00635	H	23	-14	chromosome
NBC_00636	CP109050_linear_left	H	11	52	23	15	NBC_00636	H	23	-12	chromosome
NBC_00636	CP109050_linear_right	H	11	52	23	15	NBC_00636	H	23	-12	chromosome
NBC_00637	CP109046_linear_left	H	89	34	16	3	NBC_00637	H	16	-25	chromosome
NBC_00637	CP109046_linear_right	H	89	34	16	3	NBC_00637	H	16	-25	chromosome
NBC_00637	CP109047_linear_left	H	234	8	3	0	NBC_00637	H	3	-24	plasmid
NBC_00637	CP109047_linear_right	H	234	8	3	0	NBC_00637	H	3	-24	plasmid
NBC_00637	CP109048_linear_left	S	757	1	1	8	NBC_00637	S	1	-64	plasmid
NBC_00637	CP109048_linear_right	S	758	7	3	1	NBC_00637	S	3	-22	plasmid
NBC_00637	CP109049_linear_left	S	759	2	1	3	NBC_00637	S	1	-96	plasmid
NBC_00637	CP109049_linear_right	H	759	2	1	8	NBC_00637	H	1	-94	plasmid
NBC_00641	CP109044_linear_left	H	37	127	46	3267	NBC_00641	H	46	-12	chromosome
NBC_00641	CP109044_linear_right	H	37	127	46	3268	NBC_00641	H	46	-12	chromosome
NBC_00641	CP109045_linear_left	H	234	8	3	21	NBC_00641	H	3	-13	plasmid
NBC_00641	CP109045_linear_right	H	234	8	3	5	NBC_00641	H	3	-13	plasmid
NBC_00642	CP130729_linear_left	H	11	52	23	12	NBC_00642	H	23	-15	chromosome
NBC_00642	CP130729_linear_right	H	11	52	23	12	NBC_00642	H	23	-15	chromosome
NBC_00643	CP130728_linear_left	H	11	52	23	11	NBC_00643	H	23	-13	chromosome
NBC_00643	CP130728_linear_right	H	11	52	23	11	NBC_00643	H	23	-13	chromosome
NBC_00645	CP109041_linear_left	H	100	46	22	727	NBC_00645	H	22	-13	chromosome
NBC_00645	CP109041_linear_right	H	100	46	22	727	NBC_00645	H	22	-13	chromosome
NBC_00647	CP109040_linear_left	H	191	13	7	0	NBC_00647	H	7	-14	chromosome
NBC_00647	CP109040_linear_right	H	191	13	7	0	NBC_00647	H	7	-14	chromosome
NBC_00648	CP109038_linear_left	H	748	9	3	25	NBC_00648	H	3	-15	chromosome
NBC_00648	CP109038_linear_right	H	748	9	3	0	NBC_00648	H	3	-0	chromosome
NBC_00648	CP109039_linear_left	H	18	86	40	1708	NBC_00648	H	40	-15	plasmid
NBC_00648	CP109039_linear_right	H	748	9	3	16	NBC_00648	H	3	-15	plasmid
NBC_00649	CP109037_linear_left	H	53	14	8	469	NBC_00649	H	8	-13	chromosome
NBC_00649	CP109037_linear_right	H	53	14	8	469	NBC_00649	H	8	-13	chromosome
NBC_00651	CP109034_linear_left	H	50	43	22	1	NBC_00651	H	22	-17	chromosome
NBC_00651	CP109034_linear_right	H	50	43	22	1	NBC_00651	H	22	-17	chromosome
NBC_00651	CP109035_linear_left	S	754	2	1	0	NBC_00651	S	1	-62	plasmid
NBC_00651	CP109035_linear_right	H	754	2	1	1	NBC_00651	H	1	-60	plasmid
NBC_00656	CP109033_linear_left	H	645	5	3	2	NBC_00656	H	3	-11	chromosome
NBC_00656	CP109033_linear_right	H	645	5	3	2	NBC_00656	H	3	-11	chromosome
NBC_00658	CP109032_linear_left	S	753	2	1	0	NBC_00658	S	1	-120	chromosome
NBC_00658	CP109032_linear_right	H	753	2	1	0	NBC_00658	H	1	-120	chromosome
NBC_00659	CP109031_linear_left	H	103	8	3	0	NBC_00659	H	3	-13	chromosome
NBC_00659	CP109031_linear_right	H	103	8	3	0	NBC_00659	H	3	-13	chromosome
NBC_00661	CP109030_linear_left	H	161	76	30	31	NBC_00661	H	30	-12	chromosome
NBC_00661	CP109030_linear_right	H	161	76	30	13	NBC_00661	H	30	-11	chromosome
NBC_00663	CP109027_linear_left	H	103	8	3	10	NBC_00663	H	3	-14	chromosome
NBC_00663	CP109027_linear_right	H	103	8	3	14	NBC_00663	H	3	-14	chromosome
NBC_00663	CP109028_linear_left	H	12	26	12	0	NBC_00663	H	12	-16	plasmid
NBC_00663	CP109028_linear_right	H	12	26	12	2	NBC_00663	H	12	-14	plasmid
NBC_00664	CP109025_linear_left	H	75	25	13	2	NBC_00664	H	13	-11	chromosome
NBC_00664	CP109025_linear_right	S	751	1	1	0	NBC_00664	S	1	-0	chromosome
NBC_00664	CP109026_linear_left	H	75	25	13	280	NBC_00664	H	13	-11	plasmid
