strain_name	accession	taxon	DNA_type	DNA_length	tap_id	tpg_id	intergenic_dist	side	replicon_end	clust_type	clust_num	seq_len	hit_perc	strand	ign1	ign2	cigar	target	cluster_size
NBC_00670	CP109017	['Streptomyces sp. NBC 00670']	chromosome	7583196	PRJNA747871:OIE12_00150	PRJNA747871:OIE12_00145	12	left	CP109017_linear_left	H	2	90	94.4	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00504	CP108329	['Streptomyces jietaisiensis']	chromosome	7637261	PRJNA747871:OHN99_33180	PRJNA747871:OHN99_33185	12	right	CP108329_linear_right	H	2	90	88.9	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00521	CP108326	['Streptomyces jietaisiensis']	chromosome	7415029	PRJNA747871:OHB09_00445	PRJNA747871:OHB09_00440	12	left	CP108326_linear_left	H	66	90	77.8	+	0	0	13D77M13I	CP107797_linear_left	23
NBC_01180	CP108591	['Streptomyces sp. NBC_01180']	chromosome	7662149	PRJNA747871:OG708_01900	PRJNA747871:OG708_01895	7	left	CP108591_linear_left	H	18	90	72.2	+	0	0	90M	CP107741_linear_left	86
NBC_00180	CP108140	['Streptomyces sp. NBC_00180']	chromosome	10011928	PRJNA747871:OG477_44810	PRJNA747871:OG477_44815	10	right	CP108140_linear_right	H	50	90	72.2	+	0	0	3I40MI10MD17MD12MD7MD	CP107780_linear_left	43
NBC_00180	CP108140	['Streptomyces sp. NBC_00180']	chromosome	10011928	PRJNA747871:OG477_00530	PRJNA747871:OG477_00525	10	left	CP108140_linear_left	H	50	90	72.2	+	0	0	3I40MI10MD17MD12MD7MD	CP107780_linear_left	43
NBC_01666	CP109234	['Streptomyces althioticus']	chromosome	7542023	PRJNA747871:OG872_00440	PRJNA747871:OG872_00435	10	left	CP109234_linear_left	H	0	90	73.3	+	0	0	32MD35MD21M2I	AB088224_left AB088224 Streptomyces rochei plasmid pSLA2-L DNA, complete sequence.	42
NBC_01288	CP108427	['Streptomyces sp. NBC_01288']	chromosome	10558057	PRJNA747871:OG194_47520	PRJNA747871:OG194_47525	10	right	CP108427_linear_right	H	2	90	72.2	+	0	0	41M3I38MD8M2D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01288	CP108427	['Streptomyces sp. NBC_01288']	chromosome	10558057	PRJNA747871:OG194_00045	PRJNA747871:OG194_00040	10	left	CP108427_linear_left	H	90	90	88.9	+	0	0	90M	CP107845_linear_left	54
NBC_01365	CP109583	['Streptomyces uncialis']	chromosome	9117749	PRJNA747871:OG711_00160	PRJNA747871:OG711_00155	6	left	CP109583_linear_left	H	90	90	74.4	+	0	0	90M	CP107845_linear_left	54
NBC_01798	CP109077	['Streptomyces microflavus']	chromosome	8068458	PRJNA747871:OHB31_35300	PRJNA747871:OHB31_35305	12	right	CP109077_linear_right	H	510	90	78.9	+	0	0	17D73M17I	CP108535_circular_left	44
NBC_01684	CP109210	['Streptomyces microflavus']	chromosome	8296325	PRJNA747871:OIE98_36035	PRJNA747871:OIE98_36040	12	right	CP109210_linear_right	H	2	90	75.6	+	0	0	59M2I29M2D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01184	CP108588	['Streptomyces microflavus']	chromosome	8340736	PRJNA747871:OG269_01570	PRJNA747871:OG269_01565	12	left	CP108588_linear_left	H	2	90	75.6	+	0	0	59M2I29M2D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01168	CP108611	['Streptomyces microflavus']	chromosome	8830571	PRJNA747871:OG721_37175	PRJNA747871:OG721_37180	12	right	CP108611_linear_right	H	139	90	81.1	+	0	0	78M2I10M2D	CP107916_linear_left	33
NBC_00388	CP107949	['Streptomyces sp. NBC 00388']	plasmid	88304	PRJNA747871:OG917_30540	PRJNA747871:OG917_30545	3	right	CP107949_linear_right	H	2	90	91.1	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01794	CP109081	['Streptomyces sp. NBC 01794']	chromosome	9341351	PRJNA747871:OIE54_00875	PRJNA747871:OIE54_00870	6	left	CP109081_linear_left	H	11	90	86.7	+	0	0	I69M2D19MI	CP107733_linear_left	52
NBC_01216	CP108680	['Streptomyces sp. NBC_01216']	plasmid	107176	PRJNA747871:OG393_35025	PRJNA747871:OG393_35030	6	left	CP108680_linear_left	H	2	90	86.7	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00267	CP108076	['Streptomyces sp. NBC 00267']	chromosome	9196834	PRJNA747871:OG860_00600	PRJNA747871:OG860_00595	12	left	CP108076_linear_left	H	2	90	91.1	+	0	0	D89MI	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00377	CP107958	['Streptomyces sp. NBC 00377']	chromosome	9195461	PRJNA747871:OHS71_00600	PRJNA747871:OHS71_00595	12	left	CP107958_linear_left	H	2	90	91.1	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01686	CP109207	['Streptomyces althioticus']	chromosome	7636976	PRJNA747871:OIE82_00115	PRJNA747871:OIE82_00110	10	left	CP109207_linear_left	H	2	90	92.2	+	0	0	76MI13MD	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01463	CP109468	['Streptomyces sp. NBC_01463']	chromosome	9007178	PRJNA747871:OG521_00205	PRJNA747871:OG521_00200	6	left	CP109468_linear_left	S	979	90	*	*	*	*	*	*	5
NBC_01769	CP109114	['Streptomyces brevispora']	chromosome	7883535	PRJNA747871:OIE64_35610	PRJNA747871:OIE64_35615	15	right	CP109114_linear_right	H	90	90	93.3	+	0	0	90M	CP107845_linear_left	54
NBC_01769	CP109114	['Streptomyces brevispora']	chromosome	7883535	PRJNA747871:OIE64_00430	PRJNA747871:OIE64_00425	15	left	CP109114_linear_left	H	90	90	93.3	+	0	0	90M	CP107845_linear_left	54
NBC_00099	CP108219	['Streptomyces coelicoflavus']	plasmid	308391	PRJNA747871:OHA99_36955	PRJNA747871:OHA99_36960	10	right	CP108219_linear_right	H	2	90	92.2	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00250	CP108089	['Streptomyces sp. NBC_00250']	plasmid	111822	PRJNA747871:OG259_41610	PRJNA747871:OG259_41615	6	right	CP108089_linear_right	H	226	90	98.9	+	0	0	90M	CP108088_linear_left	4
NBC_01194	CP108576	['Streptomyces microflavus']	plasmid	409260	PRJNA747871:OG728_38520	PRJNA747871:OG728_38515	9	left	CP108576_linear_left	H	139	90	75.6	+	0	0	D89MI	CP107916_linear_left	33
NBC_00690	CP109010	['Streptomyces sp. NBC 00690']	plasmid	335986	PRJNA747871:OID54_39035	PRJNA747871:OID54_39040	8	right	CP109010_linear_right	H	2	90	72.2	+	0	0	61M4I25M4D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00125	CP108185	['Streptomyces virginiae']	plasmid	122153	PRJNA747871:OHU23_40605	PRJNA747871:OHU23_40600	15	left	CP108185_linear_left	H	90	90	83.3	+	0	0	39MD21MD28M2I	CP107845_linear_left	54
NBC_01383	CP109562	['Streptomyces sp. NBC_01383']	plasmid	138188	PRJNA747871:OG209_40590	PRJNA747871:OG209_40595	12	right	CP109562_linear_right	H	90	90	76.7	+	0	0	90M	CP107845_linear_left	54
NBC_01463	CP109468	['Streptomyces sp. NBC_01463']	chromosome	9007178	PRJNA747871:OG521_39550	PRJNA747871:OG521_39555	12	right	CP109468_linear_right	H	979	90	95.6	+	0	0	90M	CP109468_linear_left	5
NBC_01463	CP109468	['Streptomyces sp. NBC_01463']	chromosome	9007178	PRJNA747871:OG521_00035	PRJNA747871:OG521_00030	12	left	CP109468_linear_left	S	979	90	*	*	*	*	*	*	5
NBC_01260	CP108465	['Streptomyces sp. NBC_01260']	plasmid	140084	PRJNA747871:OG322_40895	PRJNA747871:OG322_40890	12	left	CP108465_linear_left	H	90	90	77.8	+	0	0	90M	CP107845_linear_left	54
NBC_01136	CP108635	['Streptomyces sp. NBC_01136']	plasmid	52357	PRJNA747871:OG762_52045	PRJNA747871:OG762_52050	15	right	CP108635_linear_right	H	90	90	94.4	+	0	0	90M	CP107845_linear_left	54
NBC_01654	CP109253	['Streptomyces anulatus']	plasmid	357796	PRJNA747871:OG865_38765	PRJNA747871:OG865_38770	9	left	CP109253_linear_left	H	97	90	84.4	+	0	0	10I80M10D	CP107857_linear_left	47
NBC_00470	CP107890	['Streptomyces sp. NBC 00470']	plasmid	495813	PRJNA747871:OHV16_49260	PRJNA747871:OHV16_49265	9	left	CP107890_linear_left	S	114	90	*	*	*	*	*	*	6
NBC_01483	CP109439	['Streptomyces sp. NBC_01483']	plasmid	1564239	PRJNA747871:OG318_55015	PRJNA747871:OG318_55010	6	left	CP109439_linear_left	H	455	90	77.8	+	0	0	90M	CP108456_linear_left	19
NBC_01455	CP109475	['Streptomyces sp. NBC_01455']	chromosome	10187597	PRJNA747871:OG255_43935	PRJNA747871:OG255_43940	5	right	CP109475_linear_right	H	3	90	77.8	+	0	0	38M2I24MD26MD	AY225511.1_left AY225511 Streptomyces lividans strain 1326 plasmid SLP2, complete sequence.	17
NBC_01455	CP109475	['Streptomyces sp. NBC_01455']	chromosome	10187597	PRJNA747871:OG255_00240	PRJNA747871:OG255_00235	5	left	CP109475_linear_left	H	3	90	77.8	+	0	0	38M2I24MD26MD	AY225511.1_left AY225511 Streptomyces lividans strain 1326 plasmid SLP2, complete sequence.	17
NBC_00008	CP108313	['Streptomyces sp. NBC_00008']	chromosome	8550141	PRJNA747871:OG398_38355	PRJNA747871:OG398_38360	7	right	CP108313_linear_right	H	2	90	81.1	+	0	0	69M2I19M2D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01462	CP109470	['Streptomyces sp. NBC_01462']	chromosome	10423316	PRJNA747871:OG445_45095	PRJNA747871:OG445_45100	5	right	CP109470_linear_right	H	37	90	84.4	+	0	0	33M2I55M2D	CP107763_linear_left	127
NBC_01462	CP109470	['Streptomyces sp. NBC_01462']	chromosome	10423316	PRJNA747871:OG445_00280	PRJNA747871:OG445_00275	5	left	CP109470_linear_left	H	37	90	86.7	+	0	0	64MD25MI	CP107763_linear_left	127
NBC_01217	CP108538	['Streptomyces sp. NBC_01217']	chromosome	8890693	PRJNA747871:OG507_00575	PRJNA747871:OG507_00570	6	left	CP108538_linear_left	H	2	90	84.4	+	0	0	70MD14MD4M2I	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01078	CP108664	['Streptomyces globisporus']	chromosome	7981951	PRJNA747871:OG215_00410	PRJNA747871:OG215_00405	6	left	CP108664_linear_left	H	510	90	73.3	+	0	0	17D73M17I	CP108535_circular_left	44
NBC_00357	CP107978	['Streptomyces coelicoflavus']	plasmid	468566	PRJNA747871:OHA75_36660	PRJNA747871:OHA75_36665	10	right	CP107978_linear_right	H	2	90	84.4	+	0	0	71MI18MD	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01211	CP108547	['Streptomyces globisporus']	plasmid	216726	PRJNA747871:OG425_34570	PRJNA747871:OG425_34565	12	left	CP108547_linear_left	H	510	90	77.8	+	0	0	17D64MD8M18I	CP108535_circular_left	44
NBC_00829	CP108867	['Streptomyces sp. NBC_00829']	chromosome	8850733	PRJNA747871:OG293_35475	PRJNA747871:OG293_35480	6	right	CP108867_linear_right	H	11	90	82.2	+	0	0	7D74M2D7M9I	CP107733_linear_left	52
NBC_01683	CP109211	['Streptomyces microflavus']	chromosome	8330854	PRJNA747871:OHA24_00165	PRJNA747871:OHA24_00160	12	left	CP109211_linear_left	H	510	90	76.7	+	0	0	17D73M17I	CP108535_circular_left	44
NBC_01683	CP109211	['Streptomyces microflavus']	chromosome	8330854	PRJNA747871:OHA24_37355	PRJNA747871:OHA24_37360	12	right	CP109211_linear_right	H	510	90	76.7	+	0	0	17D73M17I	CP108535_circular_left	44
NBC_01595	CP109320	['Streptomyces microflavus']	chromosome	8030651	PRJNA747871:OH770_00830	PRJNA747871:OH770_00825	6	left	CP109320_linear_left	H	510	90	77.8	+	0	0	17D73M17I	CP108535_circular_left	44
NBC_01346	CP108360	['Streptomyces microflavus']	chromosome	8434431	PRJNA747871:OG227_01420	PRJNA747871:OG227_01415	6	left	CP108360_linear_left	S	394	90	*	*	*	*	*	*	7
NBC_01194	CP108575	['Streptomyces microflavus']	chromosome	8546813	PRJNA747871:OG728_01495	PRJNA747871:OG728_01490	6	left	CP108575_linear_left	H	139	90	82.2	+	0	0	D78M2I10MD	CP107916_linear_left	33
NBC_01788	CP109090	['Streptomyces sp. NBC 01788']	chromosome	8269445	PRJNA747871:OIE49_01380	PRJNA747871:OIE49_01375	9	left	CP109090_linear_left	H	66	90	83.3	+	0	0	59MD16MD13M2I	CP107797_linear_left	23
NBC_00238	CP108344	['Streptomyces gancidicus']	chromosome	7518633	PRJNA747871:OG411_00805	PRJNA747871:OG411_00800	12	left	CP108344_linear_left	H	66	90	83.3	+	0	0	2I20MD68MD	CP107797_linear_left	23
NBC_00515	CP107841	['Streptomyces europaeiscabiei']	chromosome	10755582	PRJNA747871:OG858_46830	PRJNA747871:OG858_46835	6	right	CP107841_linear_right	H	2	90	94.4	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00515	CP107841	['Streptomyces europaeiscabiei']	chromosome	10755582	PRJNA747871:OG858_00055	PRJNA747871:OG858_00050	6	left	CP107841_linear_left	H	2	90	92.2	+	0	0	59MI11MI18M2D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00363	CP107972	['Streptomyces europaeiscabiei']	chromosome	10757626	PRJNA747871:OHB46_46870	PRJNA747871:OHB46_46875	6	right	CP107972_linear_right	H	2	90	94.4	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00363	CP107972	['Streptomyces europaeiscabiei']	chromosome	10757626	PRJNA747871:OHB46_00055	PRJNA747871:OHB46_00050	6	left	CP107972_linear_left	H	50	90	74.4	+	0	0	17I56M2D17M15D	CP107780_linear_left	43
NBC_01267	CP108456	['Streptomyces sp. NBC_01267']	plasmid	149100	PRJNA747871:OG709_35360	PRJNA747871:OG709_35365	6	right	CP108456_linear_right	H	455	90	98.9	+	0	0	D89MI	CP108456_linear_left	19
NBC_00306	CP108032	['Streptomyces sp. NBC 00306']	chromosome	8499733	PRJNA747871:OHA05_35915	PRJNA747871:OHA05_35920	6	right	CP108032_linear_right	H	2	90	76.7	+	0	0	44MI20M2I23M3D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00513	CP107847	['Streptomyces sp. NBC 00513']	plasmid	118406	PRJNA747871:OHA84_38570	PRJNA747871:OHA84_38575	8	right	CP107847_linear_right	H	90	90	95.6	+	0	0	90M	CP107845_linear_left	54
NBC_01745	CP109147	['Streptomyces globisporus']	plasmid	231877	PRJNA747871:OG838_36320	PRJNA747871:OG838_36325	12	left	CP109147_linear_left	H	2	90	84.4	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01014	CP108686	['Streptomyces sp. NBC_01014']	plasmid	150848	PRJNA747871:OG282_35310	PRJNA747871:OG282_35315	6	right	CP108686_linear_right	S	620	90	*	*	*	*	*	*	5
NBC_01004	CP109060	['Streptomyces globisporus']	plasmid	294500	PRJNA747871:OG449_35225	PRJNA747871:OG449_35230	12	left	CP109060_linear_left	H	2	90	78.9	+	0	0	9D81M9I	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00483	CP107880	['Streptomyces sp. NBC 00483']	chromosome	10237418	PRJNA747871:OHA73_45545	PRJNA747871:OHA73_45550	4	right	CP107880_linear_right	H	2	90	92.2	+	0	0	31M2I26MI30M3D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00483	CP107880	['Streptomyces sp. NBC 00483']	chromosome	10237418	PRJNA747871:OHA73_00165	PRJNA747871:OHA73_00160	4	left	CP107880_linear_left	H	2	90	95.6	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01537	CP109392	['Streptomyces sp. NBC_01537']	chromosome	9903391	PRJNA747871:OG607_01600	PRJNA747871:OG607_01595	6	left	CP109392_linear_left	H	215	90	75.6	+	0	0	12D49MD28M13I	CP108070_linear_left	17
NBC_00442	CP107918	['Streptomyces sp. NBC_00442']	chromosome	7725772	PRJNA747871:OG432_34685	PRJNA747871:OG432_34690	9	right	CP107918_linear_right	H	2	90	72.2	+	0	0	9D36MI25M4I4MI16M3I	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00882	CP108797	['Streptomyces sp. NBC 00882']	chromosome	10957798	PRJNA747871:OG806_49200	PRJNA747871:OG806_49205	7	right	CP108797_linear_right	H	128	90	81.1	+	0	0	36MI38M3D13M2I	CP107906_linear_left	6
NBC_01671	CP109227	['Streptomyces albidoflavus']	plasmid	438721	PRJNA747871:OG794_30520	PRJNA747871:OG794_30525	9	right	CP109227_linear_right	H	37	90	90.0	+	0	0	90M	CP107763_linear_left	127
NBC_00558	CP107794	['Streptomyces clavifer']	plasmid	455846	PRJNA747871:OG927_35105	PRJNA747871:OG927_35110	6	right	CP107794_linear_right	H	2	90	72.2	+	0	0	57M4D4M2D23M6I	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00499	CP107861	['Streptomyces sp. NBC 00499']	chromosome	11146907	PRJNA747871:OHP34_50505	PRJNA747871:OHP34_50510	16	right	CP107861_linear_right	H	2	90	93.3	+	0	0	70MI19MD	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00499	CP107861	['Streptomyces sp. NBC 00499']	chromosome	11146907	PRJNA747871:OHP34_00125	PRJNA747871:OHP34_00120	16	left	CP107861_linear_left	H	2	90	88.9	+	0	0	69MD20MI	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00498	CP107862	['Streptomyces sp. NBC 00498']	chromosome	10072442	PRJNA747871:OHA47_45575	PRJNA747871:OHA47_45580	16	right	CP107862_linear_right	H	2	90	93.3	+	0	0	70MI13MI5M2D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00498	CP107862	['Streptomyces sp. NBC 00498']	chromosome	10072442	PRJNA747871:OHA47_00125	PRJNA747871:OHA47_00120	16	left	CP107862_linear_left	H	2	90	93.3	+	0	0	70MI13MI5M2D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00302	CP108038	['Streptomyces bobili']	chromosome	9287515	PRJNA747871:OHT53_00270	PRJNA747871:OHT53_00265	6	left	CP108038_linear_left	H	90	90	82.2	+	0	0	37M2I37MI13M3D	CP107845_linear_left	54
NBC_00443	CP107917	['Streptomyces sp. NBC 00443']	chromosome	9449954	PRJNA747871:OHO27_00130	PRJNA747871:OHO27_00125	7	left	CP107917_linear_left	H	2	90	77.8	+	0	0	12I59MI18M13D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01498	CP109598	['Streptomyces sp. NBC 01498']	chromosome	7267618	PRJNA747871:OG875_00110	PRJNA747871:OG875_00105	6	left	CP109598_linear_left	H	84	90	75.6	+	0	0	57M2I31M2D	CP107836_linear_left	17
NBC_01687	CP109206	['Streptomyces anthocyanicus']	plasmid	409759	PRJNA747871:OHA39_38560	PRJNA747871:OHA39_38555	10	left	CP109206_linear_left	H	3	90	72.2	+	0	0	D38MD19MD30M3I	AY225511.1_left AY225511 Streptomyces lividans strain 1326 plasmid SLP2, complete sequence.	17
NBC_00641	CP109044	['Streptomyces halstedii']	chromosome	7458198	PRJNA747871:OG923_00140	PRJNA747871:OG923_00135	15	left	CP109044_linear_left	H	37	90	92.2	+	0	0	D89MI	CP107763_linear_left	127
NBC_00055	CP108260	['Streptomyces sp. NBC 00055']	plasmid	680701	PRJNA747871:OHU31_46310	PRJNA747871:OHU31_46315	6	right	CP108260_linear_right	H	336	90	97.8	+	0	0	34M2D54M2I	CP108260_linear_left	10
NBC_00055	CP108260	['Streptomyces sp. NBC 00055']	plasmid	680701	PRJNA747871:OHU31_43465	PRJNA747871:OHU31_43460	6	left	CP108260_linear_left	S	336	90	*	*	*	*	*	*	10
NBC_01707	CP109190	['Streptomyces sp. NBC 01707']	chromosome	9577546	PRJNA747871:OG963_00090	PRJNA747871:OG963_00085	6	left	CP109190_linear_left	H	336	90	95.6	+	0	0	D20MD14M2D52M4I	CP108260_linear_left	10
NBC_01527	CP109396	['Streptomyces sp. NBC_01527']	plasmid	897987	PRJNA747871:OG612_42095	PRJNA747871:OG612_42090	6	left	CP109396_linear_left	H	336	90	97.8	+	0	0	34M2D54M2I	CP108260_linear_left	10
NBC_01230	CP108523	['Streptomyces sp. NBC_01230']	plasmid	682929	PRJNA747871:OG763_46120	PRJNA747871:OG763_46125	6	right	CP108523_linear_right	H	336	90	96.7	+	0	0	20MD14M2D53M3I	CP108260_linear_left	10
NBC_01230	CP108523	['Streptomyces sp. NBC_01230']	plasmid	682929	PRJNA747871:OG763_43275	PRJNA747871:OG763_43270	6	left	CP108523_linear_left	H	336	90	96.7	+	0	0	20MD14M2D53M3I	CP108260_linear_left	10
NBC_01786	CP109093	['Streptomyces scopuliridis']	plasmid	172277	PRJNA747871:OG949_41940	PRJNA747871:OG949_41945	3	right	CP109093_linear_right	H	50	90	72.2	+	0	0	17I57M3D16M14D	CP107780_linear_left	43
NBC_01771	CP109110	['Streptomyces scopuliridis']	plasmid	185497	PRJNA747871:OG835_42445	PRJNA747871:OG835_42450	3	right	CP109110_linear_right	H	2	90	87.8	+	0	0	57M3I30M3D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01770	CP109113	['Streptomyces scopuliridis']	plasmid	185516	PRJNA747871:OIE62_41050	PRJNA747871:OIE62_41045	3	left	CP109113_linear_left	H	2	90	88.9	+	0	0	90M	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_01724	CP109170	['Streptomyces sp. NBC 01724']	plasmid	790618	PRJNA747871:OG894_44645	PRJNA747871:OG894_44650	6	right	CP109170_linear_right	H	797	90	84.4	+	0	0	12D78M12I	CP109122_linear_right	14
NBC_00726	CP108984	['Streptomyces sp. NBC_00726']	plasmid	222687	PRJNA747871:OG338_30485	PRJNA747871:OG338_30480	12	right	CP108984_linear_right	H	455	90	80.0	+	0	0	D14MI55M3D17M3I	CP108456_linear_left	19
NBC_00441	CP107920	['Streptomyces sp. NBC 00441']	plasmid	222761	PRJNA747871:OHR86_34430	PRJNA747871:OHR86_34425	12	right	CP107920_linear_right	S	143	90	*	*	*	*	*	*	18
NBC_00523	CP107837	['Streptomyces sp. NBC 00523']	plasmid	291975	PRJNA747871:OHS17_33765	PRJNA747871:OHS17_33760	12	right	CP107837_linear_right	H	84	90	75.6	+	0	0	64M3I23M3D	CP107836_linear_left	17
NBC_00316	CP108024	['Streptomyces sp. NBC 00316']	plasmid	682058	PRJNA747871:OG878_41620	PRJNA747871:OG878_41615	6	right	CP108024_linear_right	H	2	90	76.7	+	0	0	66M2I22M2D	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00891	CP108780	['Streptomyces sp. NBC 00891']	plasmid	206630	PRJNA747871:OH827_34370	PRJNA747871:OH827_34365	12	right	CP108780_linear_right	H	143	90	72.2	+	0	0	13D77M13I	CP107920_linear_right	18
NBC_00890	CP108782	['Streptomyces sp. NBC_00890']	plasmid	206651	PRJNA747871:OG464_34375	PRJNA747871:OG464_34370	12	right	CP108782_linear_right	H	143	90	82.2	+	0	0	67M2D21M2I	CP107920_linear_right	18
NBC_00870	CP108811	['Streptomyces sp. NBC_00870']	plasmid	206653	PRJNA747871:OG498_34375	PRJNA747871:OG498_34370	12	right	CP108811_linear_right	H	143	90	72.2	+	0	0	20D70M20I	CP107920_linear_right	18
NBC_00869	CP108813	['Streptomyces sp. NBC_00869']	plasmid	206651	PRJNA747871:OG704_33810	PRJNA747871:OG704_33815	12	left	CP108813_linear_left	H	143	90	75.6	+	0	0	13D77M13I	CP107920_linear_right	18
NBC_00209	CP108122	['Streptomyces sp. NBC 00209']	plasmid	225312	PRJNA747871:OG867_32770	PRJNA747871:OG867_32765	12	right	CP108122_linear_right	H	143	90	75.6	+	0	0	13D77M13I	CP107920_linear_right	18
NBC_01220	CP108531	['Streptomyces sp. NBC_01220']	chromosome	9155022	PRJNA747871:OG345_38985	PRJNA747871:OG345_38990	3	right	CP108531_linear_right	H	2	90	95.6	+	0	0	D89MI	AF038453.1 AF038453 Streptomyces coelicolor strain A3(2) chromosome terminus.	327
NBC_00727	CP108982	['Streptomyces sp. NBC_00727']	plasmid	209265	PRJNA747871:OG242_31950	PRJNA747871:OG242_31955	12	left	CP108982_linear_left	H	151	90	78.9	+	0	0	45MD15MI29M	CP107945_linear_left	10
NBC_00656	CP109033	['Streptomyces sp. NBC_00656']	chromosome	9575572	PRJNA747871:OG696_39545	PRJNA747871:OG696_39550	3	right	CP109033_linear_right	H	645	90	78.9	+	0	0	15I44MI30M16D	CP108724_linear_left	5
NBC_00444	CP107916	['Streptomyces sp. NBC 00444']	chromosome	10787473	PRJNA747871:OHA71_49355	PRJNA747871:OHA71_49350	14	right	CP107916_linear_right	H	139	90	100.0	+	0	0	=	CP107916_linear_left	33
NBC_00444	CP107916	['Streptomyces sp. NBC 00444']	chromosome	10787473	PRJNA747871:OHA71_00080	PRJNA747871:OHA71_00085	14	left	CP107916_linear_left	S	139	90	*	*	*	*	*	*	33
NBC_00708	CP108998	['Streptomyces sp. NBC 00708']	plasmid	197494	PRJNA747871:OHA46_32465	PRJNA747871:OHA46_32470	12	left	CP108998_linear_left	H	151	90	76.7	+	0	0	D60MI29M	CP107945_linear_left	10
NBC_00708	CP108998	['Streptomyces sp. NBC 00708']	plasmid	197494	PRJNA747871:OHA46_32465	PRJNA747871:OHA46_32470	12	left	CP108998_linear_left	H	151	90	76.7	+	0	0	D60MI29M	CP107945_linear_left	10
NBC_01353	CP108352	['Streptomyces sp. NBC_01353']	chromosome	8472668	PRJNA747871:OG566_37810	PRJNA747871:OG566_37815	9	right	CP108352_linear_right	H	66	90	83.3	+	0	0	D23MI66M	CP107797_linear_left	23
NBC_01423	CP109507	['Streptomyces sp. NBC_01423']	plasmid	199340	PRJNA747871:OG290_34035	PRJNA747871:OG290_34040	12	left	CP109507_linear_left	H	143	90	74.4	+	0	0	13D52MD24M14I	CP107920_linear_right	18
NBC_00390	CP107945	['Streptomyces sp. NBC 00390']	chromosome	8532829	PRJNA747871:OHS70_00720	PRJNA747871:OHS70_00715	6	left	CP107945_linear_left	S	151	90	*	*	*	*	*	*	10
NBC_00820	CP108882	['Streptomyces sp. NBC 00820']	chromosome	8106388	PRJNA747871:OIB37_36115	PRJNA747871:OIB37_36110	15	right	CP108882_linear_right	H	139	90	76.7	+	0	0	66M2I11M2I9M4D	CP107916_linear_left	33
