strain	replicon	left_ext	right_ext
NBC_01325	CP109051	11	96
NBC_01325	CP109052	11	12
NBC_01328	CP108382	13	14
NBC_01331	CP108379	14	14
NBC_01331	CP108380	13	12
NBC_01332	CP108378	rejected	rejected
NBC_01333	CP108376	14	13
NBC_01334	CP130718	12	12
NBC_01334	CP130719	13	14
NBC_01335	CP108370	119	15
NBC_01335	CP108371	rejected	11
NBC_01335	CP108373	13	13
NBC_01336	CP108369	rejected	rejected
NBC_01337	CP108368	14	14
NBC_01338	CP108367	11	11
NBC_01340	CP108365	11	11
NBC_01340	CP108366	rejected	12
NBC_01341	CP108364	19	25
NBC_01343	CP108362	12	12
NBC_01343	CP108363	rejected	12
NBC_01344	CP108361	16	16
NBC_01346	CP108360	11	11
NBC_01347	CP108359	9	rejected
NBC_01351	CP108356	14	14
NBC_01351	CP108357	13	13
NBC_01351	CP108358	rejected	rejected
NBC_01352	CP108354	12	12
NBC_01353	CP108352	rejected	rejected
NBC_01355	CP108351	150	7
NBC_01356	CP108350	rejected	rejected
NBC_01358	CP108349	rejected	100
NBC_01359	CP108347	12	12
NBC_01359	CP108348	11	11
NBC_01360	CP108346	13	13
NBC_01361	CP109589	3	4
NBC_01361	CP109590	3	4
NBC_01361	CP109591	14	13
NBC_01362	CP109586	12	12
NBC_01362	CP109587	12	12
NBC_01362	CP109588	13	14
NBC_01365	CP109583	11	11
NBC_01365	CP109584	rejected	11
NBC_01366	CP109581	13	13
NBC_01366	CP109582	72	46
NBC_01367	CP109580	4	4
NBC_01369	CP109575	rejected	rejected
NBC_01369	CP109576	12	13
NBC_01369	CP109577	rejected	rejected
NBC_01369	CP109578	116	118
NBC_01370	CP109574	11	12
NBC_01372	CP109571	12	12
NBC_01372	CP109572	13	146
NBC_01372	CP109573	119	14
NBC_01374	CP109570	14	14
NBC_01378	CP109565	12	12
NBC_01383	CP109561	16	12
NBC_01383	CP109562	14	12
NBC_01384	CP109559	14	11
NBC_01384	CP109560	13	13
NBC_01386	CP109558	15	15
NBC_01387	CP109556	rejected	11
NBC_01387	CP109557	rejected	11
NBC_01390	CP109551	136	27
NBC_01391	CP109550	13	13
NBC_01393	CP109546	14	14
NBC_01396	CP109545	14	14
NBC_01401	CP109535	12	12
NBC_01409	CP109531	14	13
NBC_01410	CP109530	rejected	rejected
NBC_01411	CP109529	13	13
NBC_01414	CP109522	12	12
NBC_01414	CP109523	12	14
NBC_01417	CP109518	12	11
NBC_01417	CP109519	12	11
NBC_01418	CP109517	13	13
NBC_01419	CP109515	10	1
NBC_01420	CP109513	12	11
NBC_01420	CP109514	rejected	11
NBC_01421	CP109511	13	11
NBC_01421	CP109512	12	120
NBC_01422	CP109508	13	13
NBC_01422	CP109509	rejected	12
NBC_01423	CP109506	12	12
NBC_01423	CP109507	11	12
NBC_01426	CP109500	13	13
NBC_01426	CP109501	12	14
NBC_01426	CP109502	13	13
NBC_01426	CP109503	12	12
NBC_01426	CP109504	13	119
NBC_01426	CP109505	12	17
NBC_01428	CP109499	13	13
NBC_01429	CP109599	11	11
NBC_01431	CP109496	11	12
NBC_01431	CP109497	12	15
NBC_01432	CP109495	15	rejected
NBC_01435	CP109492	14	14
NBC_01435	CP109493	14	14
NBC_01436	CP109491	5	5
NBC_01437	CP109490	rejected	1
NBC_01438	CP109489	120	rejected
NBC_01439	CP109487	12	109
NBC_01447	CP109483	12	12
NBC_01450	CP109480	12	20
NBC_01450	CP109481	12	14
NBC_01450	CP109482	116	116
NBC_01451	CP109479	12	12
NBC_01453	CP109478	119	13
NBC_01454	CP109460	12	12
NBC_01454	CP109462	14	14
NBC_01454	CP109463	14	28
NBC_01455	CP109475	13	13
NBC_01455	CP109476	12	rejected
NBC_01455	CP109477	13	13
NBC_01456	CP109455	11	12
NBC_01456	CP109456	14	14
NBC_01456	CP109457	18	13
NBC_01460	CP109473	15	15
NBC_01462	CP109470	16	18
NBC_01462	CP109471	13	13
NBC_01463	CP109468	13	13
NBC_01463	CP109469	11	rejected
NBC_01465	CP109467	14	14
NBC_01471	CP109450	12	12
NBC_01471	CP109451	12	12
NBC_01471	CP109452	12	12
NBC_01475	CP109447	14	14
NBC_01476	CP109446	118	12
NBC_01477	CP109445	12	12
NBC_01478	CP109444	rejected	rejected
NBC_01483	CP109438	12	12
NBC_01483	CP109439	15	rejected
NBC_01485	CP109435	13	13
NBC_01485	CP109436	13	13
NBC_01496	CP109429	rejected	rejected
NBC_01497	CP109427	11	11
NBC_01497	CP109428	11	11
NBC_01498	CP109598	15	14
NBC_01506	CP109422	rejected	rejected
NBC_01506	CP109424	87	100
NBC_01507	CP109421	12	12
NBC_01508	CP109419	rejected	rejected
NBC_01508	CP109420	13	14
NBC_01511	CP109417	rejected	14
NBC_01515	CP109416	11	11
NBC_01516	CP109413	13	11
NBC_01516	CP109414	12	12
NBC_01516	CP109415	12	11
NBC_01518	CP130730	14	14
NBC_01520	CP109404	rejected	rejected
NBC_01520	CP109405	12	11
NBC_01520	CP109406	rejected	rejected
NBC_01522	CP109403	13	13
NBC_01523	CP109400	12	12
NBC_01523	CP109402	13	16
NBC_01525	CP109397	15	15
NBC_01525	CP109398	12	11
NBC_01525	CP109399	12	12
NBC_01527	CP109395	11	11
NBC_01527	CP109396	11	11
NBC_01530	CP109394	rejected	rejected
NBC_01536	CP109393	12	11
NBC_01537	CP109392	12	12
NBC_01538	CP109391	6	6
NBC_01542	CP109389	12	12
NBC_01543	CP109387	16	16
NBC_01543	CP109388	16	rejected
NBC_01544	CP109384	12	11
NBC_01544	CP109385	14	14
NBC_01545	CP109381	rejected	13
NBC_01545	CP109382	14	14
NBC_01546	CP109379	9	rejected
NBC_01546	CP109380	10	rejected
NBC_01547	CP109377	rejected	rejected
NBC_01547	CP109378	rejected	rejected
NBC_01550	CP109376	12	119
NBC_01552	CP109375	rejected	rejected
NBC_01553	CP109370	rejected	115
NBC_01553	CP109371	12	14
NBC_01553	CP109372	16	23
NBC_01553	CP109373	105	95
NBC_01556	CP109368	12	12
NBC_01562	CP109356	11	11
NBC_01562	CP109357	112	13
NBC_01562	CP109358	rejected	120
NBC_01562	CP109359	11	1
NBC_01562	CP109360	1	1
NBC_01562	CP109361	118	111
NBC_01562	CP109362	114	rejected
NBC_01562	CP109363	118	rejected
NBC_01563	CP109354	14	15
NBC_01563	CP109355	10	15
NBC_01564	CP109352	rejected	rejected
NBC_01568	CP109349	13	13
NBC_01568	CP109350	33	29
NBC_01576	CP109347	13	13
NBC_01576	CP109348	16	18
NBC_01578	CP109346	17	17
NBC_01579	CP109344	15	15
NBC_01579	CP109345	12	14
NBC_01581	CP109343	12	12
NBC_01582	CP109341	15	13
NBC_01582	CP109342	17	15
NBC_01584	CP109339	118	17
NBC_01586	CP109334	16	16
NBC_01589	CP109333	12	12
NBC_01590	CP109330	12	rejected
NBC_01590	CP109331	115	14
NBC_01592	CP109323	14	14
NBC_01592	CP109324	16	115
NBC_01592	CP109325	119	14
NBC_01592	CP109326	12	13
NBC_01594	CP109322	14	14
NBC_01595	CP109320	11	11
NBC_01595	CP109321	118	rejected
NBC_01597	CP109319	rejected	rejected
NBC_01598	CP109317	12	12
NBC_01598	CP109318	12	12
NBC_01601	CP109314	12	11
NBC_01601	CP109315	13	13
NBC_01602	CP109313	13	13
NBC_01604	CP109312	17	17
NBC_01606	CP109309	11	11
NBC_01606	CP109310	12	12
NBC_01606	CP109311	12	12
NBC_01607	CP109308	14	rejected
NBC_01612	CP109304	13	13
NBC_01613	CP109303	12	12
NBC_01614	CP109302	13	13
NBC_01615	CP109301	13	13
NBC_01617	CP109298	rejected	rejected
NBC_01618	CP109297	13	13
NBC_01620	CP109296	12	11
NBC_01621	CP109294	rejected	12
NBC_01621	CP109295	rejected	11
NBC_01622	CP109293	rejected	120
NBC_01624	CP109290	rejected	rejected
NBC_01624	CP109291	91	92
NBC_01625	CP109287	14	14
NBC_01626	CP109283	12	12
NBC_01626	CP109284	14	13
NBC_01627	CP109281	rejected	rejected
NBC_01627	CP109282	12	rejected
NBC_01629	CP109280	120	120
NBC_01630	CP109279	4	6
NBC_01635	CP109277	13	13
NBC_01635	CP109278	119	117
NBC_01636	CP109275	11	11
NBC_01636	CP109276	rejected	120
NBC_01637	CP109274	12	12
NBC_01640	CP109270	11	11
NBC_01640	CP109271	9	11
NBC_01641	CP109268	14	14
NBC_01641	CP109269	rejected	11
NBC_01643	CP109266	15	15
NBC_01643	CP109267	12	12
NBC_01646	CP109264	13	13
NBC_01648	CP109262	12	14
NBC_01648	CP109263	14	14
NBC_01650	CP109258	13	13
NBC_01650	CP109259	14	14
NBC_01650	CP109260	11	11
NBC_01650	CP109261	12	13
NBC_01651	CP109256	176	176
NBC_01651	CP109257	16	176
NBC_01652	CP109255	12	12
NBC_01653	CP109254	11	11
NBC_01654	CP109252	12	12
NBC_01654	CP109253	12	12
NBC_01657	CP109249	11	11
NBC_01657	CP109250	11	11
NBC_01658	CP109245	rejected	rejected
NBC_01658	CP109246	rejected	12
NBC_01658	CP109248	12	12
NBC_01661	CP109243	13	13
NBC_01661	CP109244	12	12
NBC_01662	CP109242	120	14
NBC_01664	CP109238	18	16
NBC_01664	CP109239	13	14
NBC_01665	CP109235	13	13
NBC_01665	CP109237	12	12
NBC_01666	CP109234	12	12
NBC_01667	CP109233	rejected	rejected
NBC_01668	CP109228	12	12
NBC_01668	CP109229	121	131
NBC_01668	CP109230	118	rejected
NBC_01668	CP109231	13	117
NBC_01668	CP109232	120	114
NBC_01671	CP109226	11	11
NBC_01671	CP109227	11	11
NBC_01673	CP109224	15	15
NBC_01675	CP109594	16	15
NBC_01675	CP109595	28	14
NBC_01676	CP109222	12	13
NBC_01676	CP109223	12	12
NBC_01677	CP109220	12	12
NBC_01677	CP109221	12	12
NBC_01678	CP109453	11	11
NBC_01678	CP109454	11	11
NBC_01679	CP109215	rejected	rejected
NBC_01679	CP109216	rejected	119
NBC_01679	CP109218	13	15
NBC_01679	CP109219	15	12
NBC_01680	CP109212	rejected	rejected
NBC_01683	CP109211	14	14
NBC_01684	CP109210	14	12
NBC_01685	CP109209	rejected	13
NBC_01686	CP109207	11	11
NBC_01686	CP109208	14	14
NBC_01687	CP109205	13	13
NBC_01687	CP109206	13	13
NBC_01689	CP109592	13	13
NBC_01692	CP109203	14	13
NBC_01692	CP109204	15	17
NBC_01693	CP109202	14	14
NBC_01694	CP109201	21	20
NBC_01696	CP109200	91	91
NBC_01701	CP109197	13	13
NBC_01701	CP109198	13	13
NBC_01703	CP109194	13	13
NBC_01703	CP109195	13	13
NBC_01706	CP109193	13	13
NBC_01707	CP109190	23	15
NBC_01707	CP109191	15	14
NBC_01707	CP109192	119	13
NBC_01708	CP109188	11	120
NBC_01708	CP109189	11	11
NBC_01711	CP109184	13	13
NBC_01711	CP109185	13	13
NBC_01714	CP109183	12	12
NBC_01715	CP109182	15	15
NBC_01716	CP109181	rejected	12
NBC_01717	CP109178	12	12
NBC_01717	CP109179	12	11
NBC_01718	CP109174	22	120
NBC_01718	CP109175	98	108
NBC_01718	CP109176	106	109
NBC_01718	CP109177	121	103
NBC_01722	CP109173	14	rejected
NBC_01723	CP109171	11	11
NBC_01724	CP109169	11	11
NBC_01724	CP109170	13	13
NBC_01725	CP109167	rejected	13
NBC_01725	CP109168	15	rejected
NBC_01727	CP109163	14	14
NBC_01727	CP109164	120	120
NBC_01727	CP109165	118	94
NBC_01732	CP109157	13	13
NBC_01732	CP109158	11	11
NBC_01732	CP109160	13	13
NBC_01732	CP109161	115	14
NBC_01735	CP109154	14	14
NBC_01735	CP109155	11	rejected
NBC_01744	CP109148	rejected	rejected
NBC_01745	CP109146	12	12
NBC_01745	CP109147	12	12
NBC_01746	CP109144	12	rejected
NBC_01746	CP109145	17	17
NBC_01747	CP109142	14	11
NBC_01747	CP109143	11	rejected
NBC_01749	CP109140	rejected	rejected
NBC_01750	CP109137	11	14
NBC_01751	CP109136	12	12
NBC_01752	CP109135	rejected	rejected
NBC_01754	CP109132	11	11
NBC_01754	CP109133	27	128
NBC_01758	CP109127	11	113
NBC_01759	CP109125	96	98
NBC_01759	CP109126	rejected	95
NBC_01760	CP109124	12	13
NBC_01761	CP109123	rejected	rejected
NBC_01762	CP109122	rejected	rejected
NBC_01763	CP109121	rejected	rejected
NBC_01766	CP109118	12	12
NBC_01766	CP109119	15	12
NBC_01766	CP109120	rejected	12
NBC_01768	CP109115	14	14
NBC_01768	CP109116	14	13
NBC_01768	CP109117	13	12
NBC_01769	CP109114	12	12
NBC_01770	CP109112	11	11
NBC_01770	CP109113	12	11
NBC_01771	CP109109	12	11
NBC_01771	CP109110	11	11
NBC_01771	CP109111	13	13
NBC_01772	CP109108	13	13
NBC_01774	CP109106	11	11
NBC_01775	CP109104	rejected	rejected
NBC_01775	CP109105	rejected	12
NBC_01777	CP109102	12	12
NBC_01778	CP109097	11	11
NBC_01778	CP109098	11	89
NBC_01778	CP109099	120	108
NBC_01778	CP109100	120	48
NBC_01778	CP109101	115	123
NBC_01779	CP109095	12	11
NBC_01780	CP109094	rejected	116
NBC_01786	CP109091	rejected	11
NBC_01786	CP109092	12	12
NBC_01786	CP109093	11	11
NBC_01788	CP109090	rejected	rejected
NBC_01790	CP109088	rejected	rejected
NBC_01790	CP109089	120	159
NBC_01791	CP109085	13	rejected
NBC_01791	CP109086	rejected	rejected
NBC_01792	CP109083	12	12
NBC_01794	CP109081	13	13
NBC_01795	CP109079	rejected	rejected
NBC_01795	CP109080	16	14
NBC_01798	CP109077	12	12
NBC_01799	CP109076	rejected	rejected
NBC_01800	CP109075	13	13
NBC_01803	CP109073	rejected	rejected
NBC_01808	CP109072	rejected	rejected
NBC_00039	CP108289	120	116
NBC_00039	CP108290	91	17
NBC_00042	CP108281	13	14
NBC_00042	CP108282	12	13
NBC_00061	CP108252	93	12
NBC_00070	CP108247	114	17
NBC_00070	CP108248	12	rejected
NBC_00082	CP108233	14	14
NBC_00085	CP108229	138	29
NBC_00106	CP108208	rejected	rejected
NBC_00106	CP108209	rejected	14
NBC_00106	CP108210	rejected	rejected
NBC_00185	CP108135	22	22
NBC_00185	CP108136	22	73
NBC_00222	CP108110	12	12
NBC_00315	CP108025	11	11
NBC_00315	CP108026	12	12
NBC_00374	CP107964	rejected	rejected
NBC_00374	CP107965	14	rejected
NBC_00374	CP107966	120	rejected
NBC_00458	CP107904	109	117
NBC_00845	CP109061	11	120
NBC_00867	CP108817	16	8
NBC_01202	CP108562	106	118
NBC_01202	CP108563	21	14
NBC_01202	CP108564	rejected	13
NBC_01203	CP108561	18	18
NBC_01246	CP108484	16	16
NBC_01247	CP108482	12	12
NBC_01247	CP108483	17	15
NBC_01250	CP108476	120	117
NBC_01265	CP108460	rejected	12
NBC_01265	CP108461	14	13
NBC_01266	CP108458	12	12
NBC_01266	CP108459	12	rejected
NBC_01269	CP108452	14	14
NBC_01269	CP108453	11	12
NBC_01295	CP108422	17	17
NBC_01300	CP108408	14	14
NBC_01300	CP108409	14	14
NBC_01300	CP108410	16	16
NBC_01300	CP108411	120	124
NBC_01300	CP108412	126	114
NBC_01302	CP108404	13	13
NBC_01302	CP108405	13	13
NBC_01302	CP108406	13	13
NBC_01344	CP108361	16	16
NBC_01347	CP108359	9	rejected
NBC_01355	CP108351	150	7
NBC_01519	CP109407	15	15
NBC_01519	CP109408	14	14
NBC_01519	CP109409	15	118
NBC_01519	CP109410	148	138
NBC_01519	CP109411	120	12
NBC_01539	CP109390	120	120
NBC_01552	CP109375	rejected	rejected
NBC_01555	CP109369	114	56
NBC_01560	CP109364	16	119
NBC_01564	CP109352	rejected	rejected
NBC_00888	CP108784	rejected	rejected
NBC_00888	CP108785	rejected	rejected
NBC_00888	CP108786	103	108
NBC_00888	CP108787	120	98
NBC_00896	CP108776	rejected	rejected
NBC_00896	CP108777	rejected	rejected
NBC_00896	CP108778	rejected	rejected
