contig_name	strain_name	taxon	rep_type
CP107948	['NBC_00388']	['Streptomyces sp. NBC 00388']	chromosome
CP107949	['NBC_00388']	['Streptomyces sp. NBC 00388']	plasmid
CP107947	['NBC_00389']	['Micromonospora sp. NBC_00389']	chromosome
CP107945	['NBC_00390']	['Streptomyces sp. NBC 00390']	chromosome
CP107946	['NBC_00390']	['Streptomyces sp. NBC 00390']	plasmid
CP107944	['NBC_00391']	['Streptomyces sp. NBC_00391']	chromosome
CP107943	['NBC_00392']	['Nocardia puris']	chromosome
CP107942	['NBC_00393']	['Actinoplanes sp. NBC 00393']	chromosome
CP107941	['NBC_00396']	['Micromonospora zamorensis']	chromosome
CP108331	['NBC_00399']	['Actinomadura citrea']	chromosome
CP107940	['NBC_00400']	['Streptomyces sp. NBC 00400']	chromosome
CP107939	['NBC_00403']	['Nocardia sp. NBC 00403']	chromosome
CP107938	['NBC_00405']	['Actinomycetospora sp. NBC 00405']	chromosome
CP107936	['NBC_00407']	['Micromonospora zamorensis']	chromosome
CP107937	['NBC_00407']	['Micromonospora zamorensis']	plasmid
CP107935	['NBC_00414']	['Streptomyces sp. NBC 00414']	chromosome
CP107933	['NBC_00415']	['Streptomyces zaomyceticus']	chromosome
CP107934	['NBC_00415']	['Streptomyces zaomyceticus']	plasmid
CP107932	['NBC_00416']	['Nocardia sp. NBC 00416']	chromosome
CP107931	['NBC_00419']	['Mycobacterium sp. NBC 00419']	chromosome
CP107930	['NBC_00420']	['Kineococcus sp. NBC_00420']	chromosome
CP107929	['NBC_00421']	['Micromonospora sp. NBC 00421']	chromosome
CP107928	['NBC_00425']	['Streptomyces sp. NBC 00425']	chromosome
CP107927	['NBC_00431']	['Spirillospora sp. NBC 00431']	chromosome
CP107926	['NBC_00433']	['Streptomyces sp. NBC 00433']	chromosome
CP107924	['NBC_00435']	['Streptomyces sp. NBC_00435']	chromosome
CP107925	['NBC_00435']	['Streptomyces sp. NBC_00435']	plasmid
CP107923	['NBC_00438']	['Amycolatopsis sp. NBC_00438']	chromosome
CP107921	['NBC_00440']	['Streptomyces sp. NBC 00440']	chromosome
CP107922	['NBC_00440']	['Streptomyces sp. NBC 00440']	plasmid
CP107919	['NBC_00441']	['Streptomyces sp. NBC 00441']	chromosome
CP107920	['NBC_00441']	['Streptomyces sp. NBC 00441']	plasmid
CP107918	['NBC_00442']	['Streptomyces sp. NBC_00442']	chromosome
CP107917	['NBC_00443']	['Streptomyces sp. NBC 00443']	chromosome
CP107916	['NBC_00444']	['Streptomyces sp. NBC 00444']	chromosome
CP107914	['NBC_00445']	['Streptomyces sp. NBC 00445']	chromosome
CP107915	['NBC_00445']	['Streptomyces sp. NBC 00445']	plasmid
CP107913	['NBC_00448']	['Streptomyces sp. NBC_00448']	chromosome
CP107911	['NBC_00450']	['Streptomyces violaceus']	chromosome
CP107912	['NBC_00450']	['Streptomyces violaceus']	plasmid
CP107910	['NBC_00453']	['Streptomyces sp. NBC_00453']	chromosome
CP107907	['NBC 00454']	['Streptomyces sp. NBC 00454']	chromosome
CP107908	['NBC 00454']	['Streptomyces sp. NBC 00454']	plasmid
CP107909	['NBC 00454']	['Streptomyces sp. NBC 00454']	extrachromosomal
CP109337	['NBC_00455']	['Streptomyces sp. NBC_00455']	chromosome
CP109338	['NBC_00455']	['Streptomyces sp. NBC_00455']	plasmid
CP107906	['NBC_00456']	['Streptomyces violaceus']	chromosome
CP107905	['NBC_00457']	['Streptomyces sp. NBC 00457']	chromosome
CP107904	['NBC_00458']	['Kitasatospora sp. NBC_00458']	chromosome
CP107903	['NBC_00459']	['Streptomyces sp. NBC 00459']	chromosome
CP107902	['NBC_00461']	['Streptomyces sp. NBC 00461']	chromosome
CP107899	['NBC_00464']	['Streptomyces sp. NBC 00464']	chromosome
CP107900	['NBC_00464']	['Streptomyces sp. NBC 00464']	plasmid
CP107901	['NBC_00464']	['Streptomyces sp. NBC 00464']	plasmid
CP107896	['NBC 00466']	['Streptomyces sp. NBC_00466']	chromosome
CP107897	['NBC 00466']	['Streptomyces sp. NBC_00466']	plasmid
CP107898	['NBC 00466']	['Streptomyces sp. NBC_00466']	extrachromosomal
CP107894	['NBC_00467']	['Streptomyces sp. NBC 00467']	chromosome
CP107895	['NBC_00467']	['Streptomyces sp. NBC 00467']	plasmid
CP107893	['NBC_00468']	['Micromonospora aurantiaca']	chromosome
CP107892	['NBC_00469']	['Micromonospora zamorensis']	chromosome
CP107889	['NBC 00470']	['Streptomyces sp. NBC 00470']	chromosome
CP107890	['NBC 00470']	['Streptomyces sp. NBC 00470']	plasmid
CP107891	['NBC 00470']	['Streptomyces sp. NBC 00470']	extrachromosomal
CP107887	['NBC_00471']	['Streptomyces nojiriensis']	chromosome
CP107888	['NBC_00471']	['Streptomyces nojiriensis']	plasmid
CP107885	['NBC_00472']	['Streptomyces decoyicus']	chromosome
CP107886	['NBC_00472']	['Streptomyces decoyicus']	plasmid
CP107884	['NBC_00475']	['Streptomyces tubercidicus']	chromosome
CP108343	['NBC_00478']	['Streptomyces jietaisiensis']	chromosome
CP107883	['NBC_00480']	['Streptomyces europaeiscabiei']	chromosome
CP107882	['NBC_00481']	['Streptomyces sp. NBC 00481']	chromosome
CP107881	['NBC_00482']	['Kribbella sp. NBC 00482']	chromosome
CP107880	['NBC_00483']	['Streptomyces sp. NBC 00483']	chromosome
CP107879	['NBC_00484']	['Streptomyces sp. NBC 00484']	chromosome
CP107878	['NBC_00485']	['Streptomyces sp. NBC 00485']	chromosome
CP107877	['NBC_00487']	['Streptomyces sp. NBC_00487']	chromosome
CP107871	['NBC 00488']	['Streptomyces virginiae']	chromosome
CP107872	['NBC 00488']	['Streptomyces virginiae']	plasmid
CP107873	['NBC 00488']	['Streptomyces virginiae']	plasmid
CP107874	['NBC 00488']	['Streptomyces virginiae']	plasmid
CP107875	['NBC 00488']	['Streptomyces virginiae']	extrachromosomal
CP107876	['NBC 00488']	['Streptomyces virginiae']	plasmid
CP108330	['NBC_00489']	['Streptomyces jietaisiensis']	chromosome
CP107869	['NBC_00490']	['Streptomyces sp. NBC_00490']	chromosome
CP107870	['NBC_00490']	['Streptomyces sp. NBC_00490']	plasmid
CP107867	['NBC_00493']	['Streptomyces sp. NBC 00493']	chromosome
CP107868	['NBC_00493']	['Streptomyces sp. NBC 00493']	plasmid
CP107866	['NBC_00494']	['Streptomyces europaeiscabiei']	chromosome
CP107865	['NBC_00496']	['Streptomyces sp. NBC_00496']	chromosome
CP107863	['NBC_00497']	['Streptomyces europaeiscabiei']	chromosome
CP107864	['NBC_00497']	['Streptomyces europaeiscabiei']	plasmid
CP107862	['NBC_00498']	['Streptomyces sp. NBC 00498']	chromosome
CP107861	['NBC_00499']	['Streptomyces sp. NBC 00499']	chromosome
CP107860	['NBC_00500']	['Streptomyces sp. NBC 00500']	chromosome
CP107858	['NBC_00501']	['Streptomyces anulatus']	chromosome
CP107859	['NBC_00501']	['Streptomyces anulatus']	plasmid
CP107857	['NBC_00502']	['Streptomyces anulatus']	chromosome
CP107855	['NBC_00503']	['Streptomyces sp. NBC_00503']	chromosome
CP107856	['NBC_00503']	['Streptomyces sp. NBC_00503']	plasmid
CP108329	['NBC_00504']	['Streptomyces jietaisiensis']	chromosome
CP107853	['NBC_00507']	['Nonomuraea sp. NBC 00507']	chromosome
CP107854	['NBC_00507']	['Nonomuraea sp. NBC 00507']	plasmid
CP107852	['NBC_00508']	['Nocardia sp. NBC 00508']	chromosome
CP107851	['NBC_00510']	['Streptomyces sp. NBC 00510']	chromosome
CP107849	['NBC_00511']	['Nocardia sp. NBC_00511']	chromosome
CP107850	['NBC_00511']	['Nocardia sp. NBC_00511']	plasmid
CP107845	['NBC 00513']	['Streptomyces sp. NBC 00513']	chromosome
CP107846	['NBC 00513']	['Streptomyces sp. NBC 00513']	plasmid
CP107847	['NBC 00513']	['Streptomyces sp. NBC 00513']	plasmid
CP107848	['NBC 00513']	['Streptomyces sp. NBC 00513']	extrachromosomal
CP107844	['NBC_00514']	['Streptomyces europaeiscabiei']	chromosome
CP107841	['NBC_00515']	['Streptomyces europaeiscabiei']	chromosome
CP107842	['NBC_00515']	['Streptomyces europaeiscabiei']	plasmid
CP107843	['NBC_00515']	['Streptomyces europaeiscabiei']	plasmid
CP107840	['NBC_00516']	['Lentzea sp. NBC_00516']	chromosome
CP107839	['NBC_00519']	['Streptomyces sp. NBC 00519']	chromosome
CP107838	['NBC_00520']	['Streptomyces murinus']	chromosome
CP108326	['NBC_00521']	['Streptomyces jietaisiensis']	chromosome
CP108327	['NBC_00521']	['Streptomyces jietaisiensis']	plasmid
CP108328	['NBC_00521']	['Streptomyces jietaisiensis']	plasmid
CP108325	['NBC_00522']	['Streptomyces jietaisiensis']	chromosome
CP107836	['NBC_00523']	['Streptomyces sp. NBC 00523']	chromosome
CP107837	['NBC_00523']	['Streptomyces sp. NBC 00523']	plasmid
CP107834	['NBC_00525']	['Streptomyces sp. NBC_00525']	chromosome
CP107835	['NBC_00525']	['Streptomyces sp. NBC_00525']	plasmid
CP107823	['NBC_00535']	['Streptomyces anulatus']	chromosome
CP107824	['NBC_00535']	['Streptomyces anulatus']	plasmid
CP107819	['NBC_00536']	['Streptomyces sp. NBC 00536']	chromosome
CP107820	['NBC_00536']	['Streptomyces sp. NBC 00536']	plasmid
CP107821	['NBC_00536']	['Streptomyces sp. NBC 00536']	plasmid
CP107822	['NBC_00536']	['Streptomyces sp. NBC 00536']	plasmid
CP107813	['NBC 00538']	['Streptomyces longwoodensis']	chromosome
CP107814	['NBC 00538']	['Streptomyces longwoodensis']	plasmid
CP107815	['NBC 00538']	['Streptomyces longwoodensis']	plasmid
CP107816	['NBC 00538']	['Streptomyces longwoodensis']	extrachromosomal
CP107817	['NBC 00538']	['Streptomyces longwoodensis']	plasmid
CP107818	['NBC 00538']	['Streptomyces longwoodensis']	plasmid
CP107811	['NBC_00539']	['Streptomyces sp. NBC 00539']	chromosome
CP107812	['NBC_00539']	['Streptomyces sp. NBC 00539']	plasmid
CP107810	['NBC_00540']	['Streptomyces longwoodensis']	chromosome
CP107809	['NBC_00541']	['Streptomyces longwoodensis']	chromosome
CP107799	['NBC 00554']	['Streptomyces sp. NBC_00554']	chromosome
CP107800	['NBC 00554']	['Streptomyces sp. NBC_00554']	extrachromosomal
CP107798	['NBC_00556']	['Streptomyces cellulosae']	chromosome
CP107796	['NBC_00557']	['Streptomyces sp. NBC 00557']	chromosome
CP107797	['NBC_00557']	['Streptomyces sp. NBC 00557']	plasmid
CP107793	['NBC_00558']	['Streptomyces clavifer']	chromosome
CP107794	['NBC_00558']	['Streptomyces clavifer']	plasmid
CP107795	['NBC_00558']	['Streptomyces clavifer']	plasmid
CP107791	['NBC_00562']	['Streptomyces sp. NBC 00562']	chromosome
CP107792	['NBC_00562']	['Streptomyces sp. NBC 00562']	plasmid
CP107786	['NBC 00564']	['Streptomyces sp. NBC_00564']	chromosome
CP107787	['NBC 00564']	['Streptomyces sp. NBC_00564']	plasmid
CP107788	['NBC 00564']	['Streptomyces sp. NBC_00564']	extrachromosomal
CP107789	['NBC 00564']	['Streptomyces sp. NBC_00564']	extrachromosomal
CP107790	['NBC 00564']	['Streptomyces sp. NBC_00564']	extrachromosomal
CP107785	['NBC_00565']	['Nocardia sp. NBC 00565']	chromosome
CP107784	['NBC_00566']	['Streptomyces sp. NBC 00566']	chromosome
CP107783	['NBC_00569']	['Streptomyces sp. NBC 00569']	chromosome
CP107782	['NBC_00573']	['Streptomyces platensis']	chromosome
CP107780	['NBC_00576']	['Streptomyces sp. NBC_00576']	chromosome
CP107781	['NBC_00576']	['Streptomyces sp. NBC_00576']	plasmid
CP107772	['NBC_00582']	['Streptomyces sp. NBC 00582']	chromosome
CP107773	['NBC_00582']	['Streptomyces sp. NBC 00582']	plasmid
CP107768	['NBC_00586']	['Streptomyces griseorubiginosus']	chromosome
CP107769	['NBC_00586']	['Streptomyces griseorubiginosus']	plasmid
CP107770	['NBC_00586']	['Streptomyces griseorubiginosus']	plasmid
CP107771	['NBC_00586']	['Streptomyces griseorubiginosus']	plasmid
CP107766	['NBC_00587']	['Streptomyces griseorubiginosus']	chromosome
CP107767	['NBC_00587']	['Streptomyces griseorubiginosus']	plasmid
CP107765	['NBC_00588']	['Streptomyces sp. NBC 00588']	chromosome
CP107764	['NBC_00589']	['Streptomyces sp. NBC 00589']	chromosome
CP107762	['NBC_00590']	['Streptomyces chartreusis']	chromosome
CP107763	['NBC_00590']	['Streptomyces chartreusis']	plasmid
CP107761	['NBC_00591']	['Streptomyces platensis']	chromosome
CP107760	['NBC_00594']	['Streptomyces longwoodensis']	chromosome
CP108324	['NBC_00595']	['Streptomyces jietaisiensis']	chromosome
CP107757	['NBC 00597']	['Streptomyces sp. NBC 00597']	chromosome
CP107758	['NBC 00597']	['Streptomyces sp. NBC 00597']	plasmid
CP107759	['NBC 00597']	['Streptomyces sp. NBC 00597']	extrachromosomal
CP107755	['NBC_00598']	['Streptomyces pseudovenezuelae']	chromosome
CP107756	['NBC_00598']	['Streptomyces pseudovenezuelae']	plasmid
CP107753	['NBC 00607']	['Streptomyces clavifer']	chromosome
CP107754	['NBC 00607']	['Streptomyces clavifer']	extrachromosomal
CP108323	['NBC_00616']	['Streptomyces jietaisiensis']	chromosome
CP107751	['NBC_00617']	['Micromonospora sp. NBC_00617']	chromosome
CP107750	['NBC_00618']	['Streptomyces sp. NBC 00618']	chromosome
CP107749	['NBC_00622']	['Streptomyces sp. NBC 00622']	chromosome
CP107748	['NBC_00623']	['Streptomyces sp. NBC 00623']	chromosome
CP107746	['NBC_00624']	['Streptomyces sp. NBC 00624']	chromosome
CP107747	['NBC_00624']	['Streptomyces sp. NBC 00624']	plasmid
CP107742	['NBC 00625']	['Streptomyces tubercidicus']	chromosome
CP107743	['NBC 00625']	['Streptomyces tubercidicus']	plasmid
CP107744	['NBC 00625']	['Streptomyces tubercidicus']	extrachromosomal
CP107745	['NBC 00625']	['Streptomyces tubercidicus']	extrachromosomal
CP107741	['NBC_00626']	['Streptomyces sp. NBC 00626']	chromosome
CP107735	['NBC 00630']	['Streptomyces longwoodensis']	chromosome
CP107736	['NBC 00630']	['Streptomyces longwoodensis']	plasmid
CP107737	['NBC 00630']	['Streptomyces longwoodensis']	plasmid
CP107738	['NBC 00630']	['Streptomyces longwoodensis']	plasmid
CP107739	['NBC 00630']	['Streptomyces longwoodensis']	extrachromosomal
CP107740	['NBC 00630']	['Streptomyces longwoodensis']	plasmid
CP107734	['NBC_00631']	['Streptomyces sp. NBC 00631']	chromosome
CP107733	['NBC_00632']	['Streptomyces canus']	chromosome
CP107731	['NBC_00633']	['Streptomyces canus']	chromosome
CP107732	['NBC_00633']	['Streptomyces canus']	plasmid
CP107730	['NBC_00634']	['Streptomyces canus']	chromosome
CP107729	['NBC_00635']	['Streptomyces longwoodensis']	chromosome
CP130731	['NBC_00635']	['Streptomyces longwoodensis']	chromosome
CP109050	['NBC 00636']	['Streptomyces canus']	chromosome
CP109046	['NBC 00637']	['Streptomyces sp. NBC_00637']	chromosome
CP109047	['NBC 00637']	['Streptomyces sp. NBC_00637']	plasmid
CP109048	['NBC 00637']	['Streptomyces sp. NBC_00637']	plasmid
CP109049	['NBC 00637']	['Streptomyces sp. NBC_00637']	plasmid
CP109044	['NBC 00641']	['Streptomyces halstedii']	chromosome
CP109045	['NBC 00641']	['Streptomyces halstedii']	plasmid
CP109043	['NBC 00642']	['Streptomyces longwoodensis']	chromosome
CP130729	['NBC 00642']	['Streptomyces longwoodensis']	chromosome
CP109042	['NBC 00643']	['Streptomyces longwoodensis']	chromosome
CP130728	['NBC 00643']	['Streptomyces longwoodensis']	chromosome
CP109041	['NBC 00645']	['Streptomyces sp. NBC 00645']	chromosome
CP109040	['NBC 00647']	['Streptomyces sp. NBC 00647']	chromosome
CP109038	['NBC 00648']	['Streptomyces sp. NBC 00648']	chromosome
CP109039	['NBC 00648']	['Streptomyces sp. NBC 00648']	plasmid
CP109037	['NBC 00649']	['Streptomyces sp. NBC 00649']	chromosome
CP109034	['NBC 00651']	['Streptomyces longwoodensis']	chromosome
CP109035	['NBC 00651']	['Streptomyces longwoodensis']	plasmid
CP109036	['NBC 00651']	['Streptomyces longwoodensis']	plasmid
CP109033	['NBC 00656']	['Streptomyces sp. NBC_00656']	chromosome
CP109032	['NBC 00658']	['Streptomyces sp. NBC 00658']	chromosome
CP109031	['NBC 00659']	['Streptomyces sp. NBC_00659']	chromosome
CP109030	['NBC 00661']	['Streptomyces pseudovenezuelae']	chromosome
CP109029	['NBC 00662']	['Kribbella sp. NBC 00662']	chromosome
CP109027	['NBC_00663']	['Streptomyces sp. NBC 00663']	chromosome
CP109028	['NBC_00663']	['Streptomyces sp. NBC 00663']	plasmid
CP109025	['NBC_00664']	['Streptomyces sp. NBC 00664']	chromosome
CP109026	['NBC_00664']	['Streptomyces sp. NBC 00664']	plasmid
CP109024	['NBC_00666']	['Streptomyces pseudovenezuelae']	chromosome
CP109022	['NBC_00667']	['Streptomyces sp. NBC 00667']	chromosome
CP109023	['NBC_00667']	['Streptomyces sp. NBC 00667']	plasmid
CP109019	['NBC_00668']	['Streptomyces melanogenes']	chromosome
CP109020	['NBC_00668']	['Streptomyces melanogenes']	plasmid
CP109021	['NBC_00668']	['Streptomyces melanogenes']	plasmid
CP109018	['NBC_00669']	['Streptomyces sp. NBC 00669']	chromosome
CP109017	['NBC_00670']	['Streptomyces sp. NBC 00670']	chromosome
CP109013	['NBC_00683']	['Streptomyces sp. NBC_00683']	chromosome
CP109012	['NBC_00685']	['Streptomyces canus']	chromosome
CP109011	['NBC_00686']	['Streptomyces pseudovenezuelae']	chromosome
CP109009	['NBC_00690']	['Streptomyces sp. NBC 00690']	chromosome
CP109010	['NBC_00690']	['Streptomyces sp. NBC 00690']	plasmid
CP109007	['NBC_00691']	['Streptomyces sp. NBC_00691']	chromosome
CP109008	['NBC_00691']	['Streptomyces sp. NBC_00691']	plasmid
CP109004	['NBC_00696']	['Streptomyces sp. NBC_00696']	chromosome
CP109003	['NBC_00701']	['Streptomyces virginiae']	chromosome
CP109000	['NBC_00704']	['Streptomyces sp. NBC 00704']	chromosome
CP109001	['NBC_00704']	['Streptomyces sp. NBC 00704']	plasmid
CP109002	['NBC_00704']	['Streptomyces sp. NBC 00704']	plasmid
CP108997	['NBC_00708']	['Streptomyces sp. NBC 00708']	chromosome
CP108998	['NBC_00708']	['Streptomyces sp. NBC 00708']	plasmid
CP108999	['NBC_00708']	['Streptomyces sp. NBC 00708']	plasmid
CP108996	['NBC_00709']	['Kribbella sp. NBC 00709']	chromosome
CP108995	['NBC_00710']	['Streptomyces canus']	chromosome
CP108994	['NBC_00711']	['Streptomyces luteogriseus']	chromosome
CP108993	['NBC_00712']	['Streptomyces luteogriseus']	chromosome
CP108992	['NBC_00713']	['Streptomyces pseudovenezuelae']	chromosome
CP108990	['NBC_00715']	['Streptomyces sp. NBC 00715']	chromosome
CP108991	['NBC_00715']	['Streptomyces sp. NBC 00715']	plasmid
CP108989	['NBC_00722']	['Streptomyces lydicus']	chromosome
CP108987	['NBC_00723']	['Streptomyces sp. NBC_00723']	chromosome
CP108988	['NBC_00723']	['Streptomyces sp. NBC_00723']	plasmid
CP108985	['NBC_00724']	['Streptomyces sp. NBC 00724']	chromosome
CP108986	['NBC_00724']	['Streptomyces sp. NBC 00724']	plasmid
CP108983	['NBC_00726']	['Streptomyces sp. NBC_00726']	chromosome
CP108984	['NBC_00726']	['Streptomyces sp. NBC_00726']	plasmid
CP108981	['NBC_00727']	['Streptomyces sp. NBC_00727']	chromosome
CP108982	['NBC_00727']	['Streptomyces sp. NBC_00727']	plasmid
CP108980	['NBC_00728']	['Streptomyces sp. NBC_00728']	chromosome
CP108978	['NBC_00731']	['Streptomyces longwoodensis']	chromosome
CP108979	['NBC_00731']	['Streptomyces longwoodensis']	plasmid
CP108974	['NBC_00734']	['Streptomyces platensis']	chromosome
CP108975	['NBC_00734']	['Streptomyces platensis']	plasmid
CP108971	['NBC_00735']	['Streptomyces longwoodensis']	chromosome
CP108972	['NBC_00735']	['Streptomyces longwoodensis']	plasmid
CP108973	['NBC_00735']	['Streptomyces longwoodensis']	plasmid
CP108938	['NBC_00775']	['Streptomyces sp. NBC 00775']	chromosome
CP108927	['NBC_00781']	['Kocuria rhizophila']	chromosome
CP108895	['NBC_00805']	['Streptomyces jietaisiensis']	chromosome
CP108894	['NBC_00806']	['Micromonospora zamorensis']	chromosome
CP108882	['NBC_00820']	['Streptomyces sp. NBC 00820']	chromosome
CP108880	['NBC_00821']	['Micromonospora sp. NBC 00821']	chromosome
CP108881	['NBC_00821']	['Micromonospora sp. NBC 00821']	plasmid
CP108878	['NBC_00822']	['Streptomyces sp. NBC 00822']	chromosome
CP108879	['NBC_00822']	['Streptomyces sp. NBC 00822']	plasmid
CP108876	['NBC_00825']	['Streptomyces sp. NBC 00825']	chromosome
CP108877	['NBC_00825']	['Streptomyces sp. NBC 00825']	plasmid
CP108873	['NBC_00826']	['Streptomyces sp. NBC 00826']	chromosome
CP108874	['NBC_00826']	['Streptomyces sp. NBC 00826']	plasmid
CP108875	['NBC_00826']	['Streptomyces sp. NBC 00826']	plasmid
CP108872	['NBC_00827']	['Streptomyces sp. NBC_00827']	chromosome
CP108870	['NBC_00828']	['Streptomyces sp. NBC_00828']	chromosome
CP108871	['NBC_00828']	['Streptomyces sp. NBC_00828']	extrachromosomal
CP130727	['NBC_00828']	['Streptomyces sp. NBC_00828']	chromosome
CP108867	['NBC_00829']	['Streptomyces sp. NBC_00829']	chromosome
CP108868	['NBC_00829']	['Streptomyces sp. NBC_00829']	plasmid
CP108869	['NBC_00829']	['Streptomyces sp. NBC_00829']	plasmid
CP108866	['NBC_00830']	['Streptomyces sp. NBC 00830']	chromosome
CP108864	['NBC_00831']	['Streptomyces virginiae']	chromosome
CP108865	['NBC_00831']	['Streptomyces virginiae']	plasmid
CP108863	['NBC_00832']	['Streptomyces avidinii']	chromosome
CP108861	['NBC_00835']	['Streptomyces cyaneofuscatus']	chromosome
CP108862	['NBC_00835']	['Streptomyces cyaneofuscatus']	plasmid
CP108858	['NBC_00836']	['Streptomyces antimycoticus']	chromosome
CP108859	['NBC_00836']	['Streptomyces antimycoticus']	plasmid
CP108860	['NBC_00836']	['Streptomyces antimycoticus']	extrachromosomal
CP108857	['NBC_00838']	['Streptomyces sp. NBC_00838']	chromosome
CP108856	['NBC_00839']	['Streptomyces antimycoticus']	chromosome
CP108853	['NBC_00841']	['Streptomyces sp. NBC 00841']	chromosome
CP108854	['NBC_00841']	['Streptomyces sp. NBC 00841']	plasmid
CP108855	['NBC_00841']	['Streptomyces sp. NBC 00841']	plasmid
CP108850	['NBC_00842']	['Streptomyces sp. NBC 00842']	chromosome
CP108851	['NBC_00842']	['Streptomyces sp. NBC 00842']	plasmid
CP108852	['NBC_00842']	['Streptomyces sp. NBC 00842']	plasmid
CP108824	['NBC_00863']	['Kocuria rhizophila']	chromosome
CP108849	['NBC_00843']	['Streptomyces niveus']	chromosome
CP109061	['NBC_00845']	['Kitasatospora purpeofusca']	chromosome
CP108846	['NBC_00846']	['Streptomyces sp. NBC 00846']	chromosome
CP108847	['NBC_00846']	['Streptomyces sp. NBC 00846']	plasmid
CP108848	['NBC_00846']	['Streptomyces sp. NBC 00846']	plasmid
CP108845	['NBC_00850']	['Nocardioides sp. NBC 00850']	chromosome
CP108840	['NBC_00851']	['Streptomyces chartreusis']	chromosome
CP108841	['NBC_00851']	['Streptomyces chartreusis']	plasmid
CP108842	['NBC_00851']	['Streptomyces chartreusis']	plasmid
CP108843	['NBC_00851']	['Streptomyces chartreusis']	plasmid
CP108844	['NBC_00851']	['Streptomyces chartreusis']	plasmid
CP108837	['NBC_00853']	['Streptomyces sp. NBC_00853']	chromosome
CP108838	['NBC_00853']	['Streptomyces sp. NBC_00853']	extrachromosomal
CP108839	['NBC_00853']	['Streptomyces sp. NBC_00853']	plasmid
CP108833	['NBC_00855']	['Micromonospora sp. NBC 00855']	chromosome
CP108834	['NBC_00855']	['Micromonospora sp. NBC 00855']	plasmid
CP108835	['NBC_00855']	['Micromonospora sp. NBC 00855']	extrachromosomal
CP108836	['NBC_00855']	['Micromonospora sp. NBC 00855']	extrachromosomal
CP108832	['NBC_00856']	['Streptomyces phaeochromogenes']	chromosome
CP108829	['NBC_00857']	['Streptomyces sp. NBC 00857']	chromosome
CP108830	['NBC_00857']	['Streptomyces sp. NBC 00857']	plasmid
CP108831	['NBC_00857']	['Streptomyces sp. NBC 00857']	extrachromosomal
CP108828	['NBC_00858']	['Micromonospora sp. NBC 00858']	chromosome
CP108826	['NBC_00859']	['Streptomyces sp. NBC_00859']	chromosome
CP108827	['NBC_00859']	['Streptomyces sp. NBC_00859']	plasmid
CP108825	['NBC_00860']	['Micromonospora sp. NBC 00860']	chromosome
CP108820	['NBC_00865']	['Streptomyces chartreusis']	chromosome
CP108821	['NBC_00865']	['Streptomyces chartreusis']	plasmid
CP108822	['NBC_00865']	['Streptomyces chartreusis']	plasmid
CP108823	['NBC_00865']	['Streptomyces chartreusis']	plasmid
CP108818	['NBC_00866']	['Streptomyces canus']	chromosome
CP108819	['NBC_00866']	['Streptomyces canus']	plasmid
CP108817	['NBC_00867']	['[Kitasatospora] papulosa']	chromosome
CP108814	['NBC_00868']	['Streptomyces sp. NBC_00868']	chromosome
CP108815	['NBC_00868']	['Streptomyces sp. NBC_00868']	plasmid
CP108816	['NBC_00868']	['Streptomyces sp. NBC_00868']	plasmid
CP108812	['NBC_00869']	['Streptomyces sp. NBC_00869']	chromosome
CP108813	['NBC_00869']	['Streptomyces sp. NBC_00869']	plasmid
CP108810	['NBC_00870']	['Streptomyces sp. NBC_00870']	chromosome
CP108811	['NBC_00870']	['Streptomyces sp. NBC_00870']	plasmid
CP108808	['NBC_00871']	['Streptomyces canus']	chromosome
CP108809	['NBC_00871']	['Streptomyces canus']	extrachromosomal
CP108806	['NBC_00872']	['Streptomyces sp. NBC_00872']	chromosome
CP108807	['NBC_00872']	['Streptomyces sp. NBC_00872']	plasmid
CP108803	['NBC_00873']	['Streptomyces sp. NBC 00873']	chromosome
CP108804	['NBC_00873']	['Streptomyces sp. NBC 00873']	plasmid
CP108805	['NBC_00873']	['Streptomyces sp. NBC 00873']	plasmid
CP108802	['NBC_00874']	['Kocuria rhizophila']	chromosome
CP108800	['NBC_00876']	['Streptomyces sp. NBC 00876']	chromosome
CP108801	['NBC_00876']	['Streptomyces sp. NBC 00876']	plasmid
CP108799	['NBC_00879']	['Streptomyces sp. NBC 00879']	chromosome
CP108798	['NBC_00881']	['Nocardia sp. NBC 00881']	chromosome
CP108797	['NBC_00882']	['Streptomyces sp. NBC 00882']	chromosome
CP108796	['NBC_00885']	['Streptomyces sp. NBC 00885']	chromosome
CP108792	['NBC_00886']	['Streptomyces sp. NBC 00886']	chromosome
CP108793	['NBC_00886']	['Streptomyces sp. NBC 00886']	extrachromosomal
CP108794	['NBC_00886']	['Streptomyces sp. NBC 00886']	extrachromosomal
CP108795	['NBC_00886']	['Streptomyces sp. NBC 00886']	extrachromosomal
CP108788	['NBC_00887']	['Streptomyces sp. NBC 00887']	chromosome
CP108789	['NBC_00887']	['Streptomyces sp. NBC 00887']	plasmid
CP108790	['NBC_00887']	['Streptomyces sp. NBC 00887']	plasmid
CP108791	['NBC_00887']	['Streptomyces sp. NBC 00887']	plasmid
CP108784	['NBC_00888']	['Embleya sp. NBC 00888']	chromosome
CP108785	['NBC_00888']	['Embleya sp. NBC 00888']	plasmid
CP108786	['NBC_00888']	['Embleya sp. NBC 00888']	plasmid
CP108787	['NBC_00888']	['Embleya sp. NBC 00888']	plasmid
